customer_set,metric,target_model,reference_model,purpose,reference_minus_target_mean,relative_improvement,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_p,effect_size_dz,holm_p,significant_0p05
B,load_risk_aubrc,SGFormer-TEG-Gate,SGFormer-adapted,TEG gated enhancement over SGFormer,0.056700600186779984,0.020358337446424568,-0.004273120708232334,0.11812923425005857,0.16015625,0.5453901426153287,0.48046875,False
B,load_risk_aubrc,SGFormer-TEG-Gate,Stable-Tail GNN,Gate vs current main model,0.046043861389987395,0.016595537332329914,-0.0010397842840542146,0.08637988758253869,0.064453125,0.6285145094531744,0.2578125,False
B,load_risk_aubrc,GraphSAGE-TEG-Gate,GraphSAGE-TEG-Concat,Gate vs concat,0.09979405832346559,0.035063047275131334,0.038027455462860744,0.16195096550000868,0.01953125,0.9577417216549872,0.1171875,False
B,load_risk_aubrc,GraphSAGE-TEG-Gate,GraphSAGE,TEG gated enhancement over GraphSAGE,0.10754229121405441,0.03768283360615695,0.019060382544023043,0.1917530846838792,0.037109375,0.7173512322444849,0.185546875,False
B,load_risk_aubrc,GraphSAGE-TEG-Gate,Stable-Tail GNN,Gate vs current main model,0.028134597051275367,0.010140521268184351,-0.032459331314862866,0.08737047792353139,0.4921875,0.27237938208209905,0.984375,False
B,average_common_risk_at_b,SGFormer-TEG-Gate,SGFormer-TEG-Concat,Gate vs concat,0.07339324984888132,0.015169639436582085,-0.13898747736415049,0.28551176595619626,0.625,0.20220394669143935,1.0,False
B,average_common_risk_at_b,SGFormer-TEG-Gate,SGFormer-adapted,TEG gated enhancement over SGFormer,0.15285432207304767,0.031082936312576765,-0.02265377120236389,0.323153499841342,0.193359375,0.5170804882736594,1.0,False
B,average_common_risk_at_b,SGFormer-TEG-Gate,Stable-Tail GNN,Gate vs current main model,0.02530984414452231,0.005283800026476222,-0.1695276898273534,0.19131640528588967,0.845703125,0.08332081068439919,1.0,False
B,average_common_risk_at_b,GraphSAGE-TEG-Gate,GraphSAGE-TEG-Concat,Gate vs concat,0.0853277389846216,0.01725852307680312,-0.07989813734869915,0.27213019447606124,0.625,0.28195668094495335,1.0,False
B,average_common_risk_at_b,GraphSAGE-TEG-Gate,GraphSAGE,TEG gated enhancement over GraphSAGE,0.09012903668235132,0.01821195516405918,-0.10385964300487702,0.25936246601210095,0.322265625,0.2884463932881331,1.0,False
B,average_common_risk_at_b,GraphSAGE-TEG-Gate,Stable-Tail GNN,Gate vs current main model,-0.06868136530274035,-0.014338239213676983,-0.21843901853265651,0.07357614905668469,0.431640625,-0.27892399802129775,1.0,False
