model,model_seed,customer_set,beta,lambda_concentration,cost_increase_pct,common_global_risk,common_global_cvar90,common_max_vehicle_risk,common_edge_burden_gini_used,common_top10_burden_share,common_risk_reduction_pct
TEG-low,0,A,1.0,0.0,0.1931722606765052,3.1712788221509216,0.0711987568187901,0.9426872118747539,0.7518836508015249,0.7504522272194832,nan
TEG-low,0,A,1.0,1.0,0.25936230153547635,2.4988534718746434,0.043769180356716814,0.8500255727710272,0.6901378106378553,0.6716577282709177,nan
TEG-low,1,A,1.0,0.0,0.17420026493031582,3.190292058189589,0.07772269782064284,0.9482858411065743,0.7515996646655484,0.7523011409039216,nan
TEG-low,1,A,1.0,1.0,0.23992910315490956,2.594300386356218,0.05194963468916415,0.927476105408663,0.7067998968169917,0.6939209759211622,nan
TEG-low,2,A,1.0,0.0,0.19847026882611157,2.988886066726332,0.07241864676695339,0.9552897058770741,0.7387998101006276,0.7344446746587188,nan
TEG-low,2,A,1.0,1.0,0.29162730023119865,2.8099403541148162,0.06017553009373572,0.9229756812742467,0.7233458165344625,0.7139348508265165,nan
TEG-low,3,A,1.0,0.0,0.1843638873859586,3.170121060078442,0.07482440370410923,0.9138000523527239,0.7501566090194721,0.7471549153838792,nan
TEG-low,3,A,1.0,1.0,0.25713315546931853,2.5748447338260467,0.05241048927806463,0.7986300697535006,0.6997207374151694,0.6838738497945801,nan
TEG-low,4,A,1.0,0.0,0.20540383216104782,3.0948789638962833,0.07522750085106604,1.0655863223034099,0.7431583949267757,0.740672657275801,nan
TEG-low,4,A,1.0,1.0,0.2958264146719155,2.4898903365790295,0.046324212975590265,0.8150282295516446,0.6927999821880928,0.6750958890855701,nan
TEG-low,5,A,1.0,0.0,0.1819720517173827,3.2858086473785955,0.07797797721613528,0.9647662079976376,0.7542133018419543,0.7567520247163427,nan
TEG-low,5,A,1.0,1.0,0.25691225582566846,2.8340656514144476,0.05955013305296695,0.9314323653080603,0.7284295188640273,0.7191602654757838,nan
TEG-low,6,A,1.0,0.0,0.19504468366947145,3.068306051269603,0.07207073468609232,0.9290966151372888,0.7423467099680962,0.7392157333965239,nan
TEG-low,6,A,1.0,1.0,0.28207615813727865,2.505468116678238,0.04961054292552313,0.7605001557212522,0.6972247137040617,0.6811757082593023,nan
TEG-low,7,A,1.0,0.0,0.20254183846713564,3.1015613637137625,0.07668506167872151,1.0053346962596827,0.7458728784707542,0.7427052784279431,nan
TEG-low,7,A,1.0,1.0,0.2872411798727589,2.353751199873881,0.04156884122837215,0.8080739618837915,0.6777621486687573,0.6566582453145146,nan
TEG-low,8,A,1.0,0.0,0.2082350728669767,3.1847117624058683,0.08008722805183031,1.0017962835839767,0.7493262153003613,0.7492261842642728,nan
TEG-low,8,A,1.0,1.0,0.3074435661534235,2.4936480824959175,0.047516409356142986,0.775476425311139,0.6920493804052301,0.6748867878280016,nan
TEG-low,9,A,1.0,0.0,0.16963288894726467,3.456609648261721,0.08662534668785342,0.9128573602610626,0.766999773596039,0.7728241883261691,nan
TEG-low,9,A,1.0,1.0,0.23359821369934988,2.6099149740728684,0.051726816269250256,0.8323686994727211,0.7061693550789281,0.6932375277084365,nan
GCN,0,B,1.0,0.0,0.22352619659526393,3.8711701897937885,0.09274138980247473,1.4140534672171337,0.7769747389400112,0.7776613712409224,nan
GCN,0,B,1.0,1.0,0.32209234728336017,3.1043113721946156,0.06901966891981587,1.1213032497674078,0.7334522749247092,0.7192744394158211,nan
GCN,1,B,1.0,0.0,0.2056996856149591,4.132409966807739,0.09568682859416933,1.3654386231201137,0.7826602481327896,0.7871038854035218,nan
GCN,1,B,1.0,1.0,0.30536444607100477,3.32707455676868,0.07584647792069206,1.1204462363618977,0.7476943137055011,0.7395309018470748,nan
GCN,2,B,1.0,0.0,0.23212765681938854,4.200374724638897,0.10233413065907508,1.397642034850407,0.7908497241225416,0.7958772376653596,nan
GCN,2,B,1.0,1.0,0.3463081055183333,3.2643161728849095,0.07499952639199728,1.096445791292574,0.7455873849771505,0.7351014228420245,nan
GCN,3,B,1.0,0.0,0.22028693342711042,4.427677943650535,0.10982934444561179,1.4456067729867068,0.7960307208836396,0.8036707106308061,nan
GCN,3,B,1.0,1.0,0.32180270140781525,3.100934932036735,0.06847908148973104,1.1161366344965695,0.7324387397481662,0.7175754411211563,nan
GCN,4,B,1.0,0.0,0.23062490586509057,4.1807454538394975,0.10010537215599628,1.346097833132483,0.7876976644331892,0.790816347066729,nan
GCN,4,B,1.0,1.0,0.3425174929070836,3.0142490370954778,0.06387092328340818,1.1156497381114483,0.7260416837160554,0.7103333165346719,nan
GCN,5,B,1.0,0.0,0.2120521308054405,3.76226496719501,0.08717825877541632,1.3323033874526489,0.7702001572007858,0.7691161422904675,nan
GCN,5,B,1.0,1.0,0.3057372373508239,3.257610251261773,0.07500285357883085,1.1036559865551998,0.7451252919687975,0.7350210903525551,nan
GCN,6,B,1.0,0.0,0.23319423516110116,3.9584890601772313,0.09070202665214941,1.3312216407728659,0.77472112435142,0.7778199678768125,nan
GCN,6,B,1.0,1.0,0.36446310899749135,3.2587284283531313,0.07438442982896785,1.122444538748261,0.7429890924171476,0.7322343185282741,nan
GCN,7,B,1.0,0.0,0.23239072342635392,4.253002393099464,0.10848953399984171,1.3013456385584192,0.7882793942449888,0.7960070157573432,nan
GCN,7,B,1.0,1.0,0.35644366660328547,3.1928921397040653,0.07104901399527971,1.1476421601036184,0.7390122354098659,0.7254066535427572,nan
GCN,8,B,1.0,0.0,0.23751847770306062,3.8533160251445837,0.0917112060547332,1.422206009272597,0.7718418257829838,0.7741805191782404,nan
GCN,8,B,1.0,1.0,0.34290255154163163,3.084538547368738,0.06705076180413541,1.1197986589810056,0.7303793811458529,0.7146776991920147,nan
GCN,9,B,1.0,0.0,0.21603833957264626,3.9857110097059767,0.09671337550520724,1.399963851185309,0.7785268198368183,0.7828452641126883,nan
GCN,9,B,1.0,1.0,0.323482647485976,3.234974206013523,0.07529229481853612,1.101649210559531,0.7450078180083562,0.7339453864417929,nan
Stable-Tail-GNN,0,B,1.0,0.0,0.20343635866746537,3.6261114653071607,0.08537115347215087,1.2934308991912464,0.7617629453569267,0.7593814493181353,nan
Stable-Tail-GNN,0,B,1.0,0.5,0.2452571339779148,3.331210806177939,0.07635930852605022,1.1207721872704066,0.7459816141437263,0.7371586068301114,nan
Stable-Tail-GNN,0,B,1.0,1.0,0.2830187779124916,3.1384391199172326,0.07058904735866203,1.116051540951656,0.7353537729127279,0.7215166487579245,nan
Stable-Tail-GNN,0,B,1.0,2.0,0.3505601069713333,2.981806664179129,0.06109652867753853,1.08947623454988,0.7235204450283589,0.706139718570287,nan
Stable-Tail-GNN,1,B,1.0,0.0,0.1807880957589711,4.306021035486991,0.09994996182259376,1.2667013990265565,0.7877111740748914,0.792060795557243,nan
Stable-Tail-GNN,1,B,1.0,0.5,0.2183514174587629,3.9050148466507233,0.09041740398356508,1.2059238084384027,0.7742872682645217,0.7734027333189977,nan
Stable-Tail-GNN,1,B,1.0,1.0,0.25439835781011366,3.8303350951811304,0.08794874529327948,1.1334038477636807,0.7692671244793684,0.7679200740788398,nan
Stable-Tail-GNN,1,B,1.0,2.0,0.3219587694207561,3.3157799188966797,0.07650313329177402,1.1263185535609552,0.7502346414587482,0.7400879895670642,nan
Stable-Tail-GNN,2,B,1.0,0.0,0.21517144650513298,4.113714274716893,0.09685206911741899,1.39131430266207,0.7835007289828184,0.7887762225977079,nan
Stable-Tail-GNN,2,B,1.0,0.5,0.27149496118404515,3.455024225371639,0.08008052128649619,1.1466004228205886,0.7556924259768979,0.7500528046618186,nan
Stable-Tail-GNN,2,B,1.0,1.0,0.32009685758078227,3.2939192675550553,0.07549797977482237,1.1129352113850657,0.7469374341875213,0.736793387507654,nan
Stable-Tail-GNN,2,B,1.0,2.0,0.4102789528313396,3.1198867072438117,0.06867499281032682,1.1174236000168212,0.7349902847335397,0.7214242067790458,nan
Stable-Tail-GNN,3,B,1.0,0.0,0.1858129405598957,4.305950346135795,0.10097349253146501,1.448403545926141,0.7847173210507312,0.7943602651158802,nan
Stable-Tail-GNN,3,B,1.0,0.5,0.2286927974952789,3.8766889619868223,0.09121386582114925,1.358825600056671,0.7680260371256373,0.7707782470361434,nan
Stable-Tail-GNN,3,B,1.0,1.0,0.2662418072812202,3.3392848428987927,0.07771215662784177,1.1392405199544857,0.7480287192813743,0.7395350420692189,nan
Stable-Tail-GNN,3,B,1.0,2.0,0.33361207489356376,3.0249349374377257,0.06259915743484949,1.0856968506347964,0.729237735634265,0.7121464064799463,nan
