risk_source,customer_set,beta,lambda_concentration,runs,common_global_risk_mean,common_global_risk_std,common_global_cvar90_mean,common_global_cvar90_std,common_max_vehicle_risk_mean,common_max_vehicle_risk_std,common_max_vehicle_cvar90_mean,common_max_vehicle_cvar90_std,common_vehicle_risk_gini_mean,common_vehicle_risk_gini_std,common_edge_burden_gini_used_mean,common_edge_burden_gini_used_std,common_top10_burden_share_mean,common_top10_burden_share_std,common_max_edge_burden_mean,common_max_edge_burden_std
A_Stable-Tail-eta0.5_seed3,A,2.0,0.0,10,2.9574780547699695,0.2593282809135231,0.06720062054097166,0.014088345920330961,0.8725606956217025,0.1216656022165393,0.10251791791660066,0.018728138601828582,0.1907069339090181,0.06699900723977523,0.7310373543109925,0.021568439363761273,0.7256887702664644,0.0283143444211578,0.5313090438090153,0.0
A_Stable-Tail-eta0.5_seed4,A,0.0,0.0,10,7.959816901084075,0.7658979944201808,0.23567049580945842,0.05127880147298579,2.428080332212452,0.48264264768863535,0.41230505239088855,0.11131733715375688,0.16179987701502715,0.061296232864304204,0.8524898232201188,0.00983743893682244,0.8837653227641111,0.01080064670692477,1.183652349085785,0.4310658753796155
A_Stable-Tail-eta0.5_seed4,A,1.0,0.0,10,3.164076645719285,0.09094473929599768,0.08197747234892674,0.005088177999196788,1.0856213050286398,0.194544568954255,0.12832160934944792,0.025379477225789097,0.2631936471658182,0.0589410964852983,0.7506577617999589,0.008647093722560423,0.7498846055658794,0.008592381133496443,0.5313090438090153,0.0
A_Stable-Tail-eta0.5_seed4,A,2.0,0.0,10,2.4221313969972247,0.11020468406284327,0.04410935451252877,0.005727683606970214,0.8105074810879807,0.08319445168546094,0.09616056744444734,0.02268331073304936,0.27045682913495106,0.046573771928295433,0.6888627127821152,0.01611302540747589,0.6701204798058357,0.0190271670248724,0.5313090438090153,0.0
A_Stable-Tail-eta0.5_seed5,A,0.0,0.0,10,7.959816901084075,0.7658979944201808,0.23567049580945842,0.05127880147298579,2.428080332212452,0.48264264768863535,0.41230505239088855,0.11131733715375688,0.16179987701502715,0.061296232864304204,0.8524898232201188,0.00983743893682244,0.8837653227641111,0.01080064670692477,1.183652349085785,0.4310658753796155
A_Stable-Tail-eta0.5_seed5,A,1.0,0.0,10,3.401886046487422,0.17988065701331407,0.09024399284539561,0.011585454540494974,1.066841162648315,0.15135856343755294,0.14371314781397132,0.012675066540439933,0.21144887856850286,0.08525287741248061,0.7623140756490911,0.009859510256320956,0.7678359223996905,0.012559163625031384,0.5313090438090153,0.0
A_Stable-Tail-eta0.5_seed5,A,2.0,0.0,10,2.8168625397722495,0.2632710881775127,0.05691532028215455,0.016201453013246766,0.944121921960534,0.06524190163372766,0.09534666769800017,0.010718004943860115,0.269697566924507,0.05024031557612467,0.724708032916882,0.023901247843982475,0.716379691975229,0.029215611406485625,0.5313090438090153,0.0
A_Stable-Tail-eta0.5_seed6,A,0.0,0.0,10,7.959816901084075,0.7658979944201808,0.23567049580945842,0.05127880147298579,2.428080332212452,0.48264264768863535,0.41230505239088855,0.11131733715375688,0.16179987701502715,0.061296232864304204,0.8524898232201188,0.00983743893682244,0.8837653227641111,0.01080064670692477,1.183652349085785,0.4310658753796155
A_Stable-Tail-eta0.5_seed6,A,1.0,0.0,10,3.1637839491271995,0.1942418770703139,0.08099284104546406,0.010192521626017071,1.2248824143536672,0.12650068789855162,0.14561586471519467,0.019317105536566206,0.3109340525589837,0.06576407327969047,0.7505578058043679,0.010884501147970564,0.7470455945276052,0.014565975827121845,0.5313090438090153,0.0
A_Stable-Tail-eta0.5_seed6,A,2.0,0.0,10,2.832316147498327,0.1816900158025107,0.05477252906214479,0.008515109739239397,0.9400363770382105,0.061265064719004475,0.09461014833260853,0.0035857446240846213,0.26494367813943365,0.05860531825118685,0.7309541233813917,0.015427026152407496,0.7204795838162493,0.01913733589284103,0.5313090438090153,0.0
A_Stable-Tail-eta0.5_seed7,A,0.0,0.0,10,7.959816901084075,0.7658979944201808,0.23567049580945842,0.05127880147298579,2.428080332212452,0.48264264768863535,0.41230505239088855,0.11131733715375688,0.16179987701502715,0.061296232864304204,0.8524898232201188,0.00983743893682244,0.8837653227641111,0.01080064670692477,1.183652349085785,0.4310658753796155
A_Stable-Tail-eta0.5_seed7,A,1.0,0.0,10,3.0557656477828634,0.10045706960883308,0.07796843113104492,0.003757078420487396,1.18932956444779,0.17911302737046256,0.14106626210020917,0.02529779556926899,0.3262058559577502,0.06005034211999096,0.7457404421498839,0.006905543379549594,0.7429985304641871,0.009842354615618706,0.5313090438090153,0.0
A_Stable-Tail-eta0.5_seed7,A,2.0,0.0,10,2.5546124053213957,0.24651568528495874,0.044344856344955115,0.005101771555218458,0.9035377726380445,0.060566871429266346,0.10559575144588022,0.013750768303741617,0.2906989144522538,0.03454558405722376,0.7023013972757606,0.02840657527118664,0.6864718188935658,0.03437230651030149,0.5313090438090153,0.0
A_Stable-Tail-eta0.5_seed8,A,0.0,0.0,10,7.959816901084075,0.7658979944201808,0.23567049580945842,0.05127880147298579,2.428080332212452,0.48264264768863535,0.41230505239088855,0.11131733715375688,0.16179987701502715,0.061296232864304204,0.8524898232201188,0.00983743893682244,0.8837653227641111,0.01080064670692477,1.183652349085785,0.4310658753796155
A_Stable-Tail-eta0.5_seed8,A,1.0,0.0,10,3.4990099078974595,0.3081739631722334,0.08371162739450218,0.01781890395920483,1.0115053864593497,0.17072527385961883,0.13633568161658766,0.027867190635070073,0.18159903972192076,0.11134729779365092,0.7654736950627513,0.014554626121940417,0.7713128680447452,0.020523319302996904,0.5313090438090153,0.0
A_Stable-Tail-eta0.5_seed8,A,2.0,0.0,10,2.614938488109577,0.1957929109655125,0.04808052553261176,0.004409986495183212,0.8885957743054302,0.09648486430156374,0.09580238280309228,0.020084907132645373,0.27746971263736464,0.05349275401935052,0.7127472634483779,0.019278894206589924,0.7002902473286821,0.021557506307681544,0.5313090438090153,0.0
A_Stable-Tail-eta0.5_seed9,A,0.0,0.0,10,7.959816901084075,0.7658979944201808,0.23567049580945842,0.05127880147298579,2.428080332212452,0.48264264768863535,0.41230505239088855,0.11131733715375688,0.16179987701502715,0.061296232864304204,0.8524898232201188,0.00983743893682244,0.8837653227641111,0.01080064670692477,1.183652349085785,0.4310658753796155
A_Stable-Tail-eta0.5_seed9,A,1.0,0.0,10,3.2094140466820056,0.1670483788011249,0.0840307484565959,0.005903968496490522,1.001420696129197,0.1847297464222394,0.1259166799362344,0.021505151578030582,0.22683800465871357,0.08802878372315528,0.7511747093711237,0.010300255294985464,0.7516569484187612,0.014180261800241538,0.5313090438090153,0.0
A_Stable-Tail-eta0.5_seed9,A,2.0,0.0,10,2.8237411447342398,0.11838258339649838,0.052463271562475086,0.009301693368882246,0.9647532227648579,1.0467283057891834e-16,0.09760366524330931,0.007242153560795928,0.2849486276388472,0.018017252724679907,0.7285142197213942,0.00712047504321205,0.7192210813028458,0.009033225284797147,0.5313090438090153,0.0
A_Stable-Tail-eta0.7_seed0,A,0.0,0.0,10,7.959816901084075,0.7658979944201808,0.23567049580945842,0.05127880147298579,2.428080332212452,0.48264264768863535,0.41230505239088855,0.11131733715375688,0.16179987701502715,0.061296232864304204,0.8524898232201188,0.00983743893682244,0.8837653227641111,0.01080064670692477,1.183652349085785,0.4310658753796155
A_Stable-Tail-eta0.7_seed0,A,1.0,0.0,10,3.0625573652015943,0.17041497453884175,0.07186359781721338,0.009194404309971716,0.9011832506141768,0.1348725488078803,0.1016564461528257,0.021508588649906155,0.20861953983102732,0.047707816897341285,0.7449896548308013,0.01013989068176874,0.7434054442955996,0.012514263513489322,0.5313090438090153,0.0
