group,src,dst,method,path,hop,mean_risk,max_risk,cvar80,cvar90,cvar95,re,hhi,gini,total_risk,hop_increase_pct,risk_reduction_pct,cvar90_reduction_pct,risk_source,risk_dir,model,model_seed
high_high,3035,2795,CVaR-risk,3035 3508 3837 3526 3561 3483 2796 2795,7,0.0029652190444591853,0.005181665997952223,0.005181665997952223,0.005181665997952223,0.005181665997952223,0.0004041207555149283,0.1867710991709358,0.30191271716132806,0.020756533311214298,0.16666666666663887,0.9216573505264872,0.9789314412870013,Stable-Tail-GNN_seed1,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\gcn_teg_concat_splitB_seed1_epochs50_floor_0p01,Stable-Tail GNN,1
high_high,3601,2158,Hop-shortest,3601 3584 4708 3593 4066 4156 4700 3688 2158,8,0.04465864178200718,0.3185644745826721,0.11190405922631423,0.3185644745826721,0.3185644745826721,0.04156198032433167,0.797220186447546,0.7932179335622922,0.35726913425605744,0.0,0.0,0.0,Stable-Tail-GNN_seed1,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\gcn_teg_concat_splitB_seed1_epochs50_floor_0p01,Stable-Tail GNN,1
high_high,3601,2158,CVaR-risk,3601 3584 4128 4834 4035 3652 3489 3815 3717 2158,9,0.003443391579720709,0.006539458874613047,0.006539458874613047,0.006539458874613047,0.006539458874613047,0.0007976057628790537,0.14950999441776502,0.3188920063008176,0.03099052421748638,0.12499999999998437,0.9132572023526989,0.97947210251815,Stable-Tail-GNN_seed1,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\gcn_teg_concat_splitB_seed1_epochs50_floor_0p01,Stable-Tail GNN,1
high_high,2,2108,Hop-shortest,2 3494 3574 4272 1512 3456 3643 4036 3926 4081 4075 1859 1858 4508 2109 2108,15,0.015092697057358844,0.2019209861755371,0.05268740456085652,0.10295971087180078,0.2019209861755371,0.013225662335753442,0.7965737852900425,0.8524876198669058,0.22639045586038264,0.0,0.0,0.0,Stable-Tail-GNN_seed1,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\gcn_teg_concat_splitB_seed1_epochs50_floor_0p01,Stable-Tail GNN,1
high_high,2,2108,CVaR-risk,2 3494 3574 4272 1512 3456 3643 4036 3926 4081 627 4075 1859 1858 4508 2109 2108,16,0.0017955642549623008,0.003998435568064451,0.0032067669089883566,0.003998435568064451,0.003998435568064451,2.889902680180967e-05,0.08539246592834646,0.3242465772644736,0.028729028079396812,0.06666666666666222,0.8730996500224046,0.9611650466462145,Stable-Tail-GNN_seed1,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\gcn_teg_concat_splitB_seed1_epochs50_floor_0p01,Stable-Tail GNN,1
high_high,1692,3047,Hop-shortest,1692 5076 4259 3593 4066 3234 4015 3663 4102 3675 3047,10,0.003937124821823091,0.00857385154813528,0.00857385154813528,0.00857385154813528,0.00857385154813528,0.0014473438262939454,0.15602126358436613,0.4023138300444651,0.0393712482182309,0.0,0.0,0.0,Stable-Tail-GNN_seed1,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\gcn_teg_concat_splitB_seed1_epochs50_floor_0p01,Stable-Tail GNN,1
high_high,1692,3047,CVaR-risk,1692 1691 4043 2568 2569 4075 4090 4808 3048 4697 3047,10,0.0029685920919291673,0.00547803845256567,0.00547803845256567,0.00547803845256567,0.00547803845256567,0.0003883974626660347,0.13108839603618108,0.3158521847591764,0.029685920919291675,0.0,0.2460000060198352,0.36107612521957416,Stable-Tail-GNN_seed1,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\gcn_teg_concat_splitB_seed1_epochs50_floor_0p01,Stable-Tail GNN,1
high_high,1145,3522,Hop-shortest,1145 4856 4343 3968 4121 4484 4020 4190 3522,8,0.02504100070655113,0.18359804153442383,0.0936168230837211,0.18359804153442383,0.18359804153442383,0.022478849772596732,0.8411122477238135,0.8074770178979989,0.20032800565240905,0.0,0.0,0.0,Stable-Tail-GNN_seed1,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\gcn_teg_concat_splitB_seed1_epochs50_floor_0p01,Stable-Tail GNN,1
high_high,1145,3522,CVaR-risk,1145 4856 1144 4284 4550 4381 5211 3703 3522,8,0.0017869894127215957,0.004928682465106249,0.004928682465106249,0.004928682465106249,0.004928682465106249,0.00029035977786406875,0.2654804130349347,0.5279753645517351,0.014295915301772766,0.0,0.9286374600688314,0.9731550379029762,Stable-Tail-GNN_seed1,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\gcn_teg_concat_splitB_seed1_epochs50_floor_0p01,Stable-Tail GNN,1
high_high,2603,3247,Hop-shortest,2603 2602 3404 5210 4568 4706 4141 4191 1119 3247,9,0.03299398397535293,0.2459430694580078,0.1444284152239561,0.2459430694580078,0.2459430694580078,0.031380584489347205,0.7071704662895654,0.8391620259592452,0.29694585577817634,0.0,0.0,0.0,Stable-Tail-GNN_seed1,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\gcn_teg_concat_splitB_seed1_epochs50_floor_0p01,Stable-Tail GNN,1
high_high,2603,3247,CVaR-risk,2603 2602 3404 4417 3561 3526 3837 4706 2797 4141 4191 1119 3247,12,0.001744155008054804,0.005181665997952223,0.0040207685669884086,0.005181665997952223,0.005181665997952223,0.00023573710738370815,0.16901422861780852,0.5229261683295292,0.02092986009665765,0.3333333333332963,0.9295162411250416,0.9789314412870013,Stable-Tail-GNN_seed1,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\gcn_teg_concat_splitB_seed1_epochs50_floor_0p01,Stable-Tail GNN,1
high_high,2499,238,Hop-shortest,2499 4381 4449 4040 4388 3859 3858 239 238,8,0.03392003203043714,0.2488984763622284,0.12691357941366732,0.2488984763622284,0.2488984763622284,0.030786584015004337,0.8423316781079976,0.7997104329907476,0.27136025624349713,0.0,0.0,0.0,Stable-Tail-GNN_seed1,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\gcn_teg_concat_splitB_seed1_epochs50_floor_0p01,Stable-Tail GNN,1
high_high,2499,238,CVaR-risk,2499 4381 4254 4449 4040 4388 3859 3858 239 238,9,0.0031255406599181392,0.004928682465106249,0.004928682465106249,0.004928682465106249,0.004928682465106249,0.0002580975803236167,0.12719737668666634,0.19656332749525207,0.028129865939263254,0.12499999999998437,0.8963375612568774,0.9801980207427481,Stable-Tail-GNN_seed1,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\gcn_teg_concat_splitB_seed1_epochs50_floor_0p01,Stable-Tail GNN,1
high_high,671,1942,Hop-shortest,671 672 4020 4092 3561 4085 4075 1859 1858 4508 1942,10,0.01667869637021795,0.1444234848022461,0.05080678531279167,0.1444234848022461,0.1444234848022461,0.014111862587742507,0.7520528334322405,0.7874463473010178,0.1667869637021795,0.0,0.0,0.0,Stable-Tail-GNN_seed1,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\gcn_teg_concat_splitB_seed1_epochs50_floor_0p01,Stable-Tail GNN,1
high_high,671,1942,CVaR-risk,671 672 4020 4092 3188 3561 4085 4075 1859 1858 4508 1942,11,0.002317998582095077,0.003998435568064451,0.0034291533520445228,0.003998435568064451,0.003998435568064451,4.2034948075359516e-05,0.10864503726812805,0.2364414859980808,0.025497984403045848,0.09999999999999,0.8471224378817577,0.9723145056739789,Stable-Tail-GNN_seed1,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\gcn_teg_concat_splitB_seed1_epochs50_floor_0p01,Stable-Tail GNN,1
high_high,754,3974,Hop-shortest,754 3593 4708 3584 4128 3477 4189 3974,7,0.007756907359829971,0.00857385154813528,0.00857385154813528,0.00857385154813528,0.00857385154813528,0.003989664006179997,0.1449644129843726,0.06192647357732284,0.054298351518809795,0.0,0.0,0.0,Stable-Tail-GNN_seed1,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\gcn_teg_concat_splitB_seed1_epochs50_floor_0p01,Stable-Tail GNN,1
high_high,754,3974,CVaR-risk,754 3593 4708 3584 4128 3477 4189 3974,7,0.007756907359829971,0.00857385154813528,0.00857385154813528,0.00857385154813528,0.00857385154813528,0.003989664006179997,0.1449644129843726,0.06192647357732284,0.054298351518809795,0.0,0.0,0.0,Stable-Tail-GNN_seed1,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\gcn_teg_concat_splitB_seed1_epochs50_floor_0p01,Stable-Tail GNN,1
high_high,2895,3525,Hop-shortest,2895 3690 4926 3865 3561 3703 3693 319 318 3666 3588 3525,11,0.027906969904010606,0.28598707914352417,0.07363817206351086,0.14442347513977438,0.28598707914352417,0.025656348708170382,0.8684600851658816,0.8533971253639825,0.3069766689441167,0.0,0.0,0.0,Stable-Tail-GNN_seed1,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\gcn_teg_concat_splitB_seed1_epochs50_floor_0p01,Stable-Tail GNN,1
