customer_set,model,beta,lambda_concentration,model_seed_runs,cost_increase_mean,cost_increase_std,cost_increase_mean_std,global_risk_mean,global_risk_std,global_risk_mean_std,risk_reduction_mean,risk_reduction_std,risk_reduction_mean_std,cvar90_mean,cvar90_std,cvar90_mean_std,max_vehicle_risk_mean,max_vehicle_risk_std,max_vehicle_risk_mean_std,edge_burden_gini_mean,edge_burden_gini_std,edge_burden_gini_mean_std,top10_share_mean,top10_share_std,top10_share_mean_std
B,Stable-Tail-TailOnlyRaw-a005,2.0,0.0,10,0.31788896029900715,0.028268447847217392,31.789% +/- 2.827%,3.1044252050638077,0.47151243392895575,3.104425 +/- 0.471512,0.6351515607832948,0.03752458514947447,63.515% +/- 3.752%,0.07041384511187947,0.015738845697117487,0.070414 +/- 0.015739,1.1420464005425077,0.2841666324871199,1.142046 +/- 0.284167,0.7985108797237686,0.021455768838282874,0.798511 +/- 0.021456,0.7624168574591554,0.02929041686153783,76.242% +/- 2.929%
B,Stable-Tail-TailOnlyRaw-a010,0.0,0.0,10,0.0,0.0,0.000% +/- 0.000%,8.821216194434884,1.1579329849408486,8.821216 +/- 1.157933,0.0,0.0,0.000% +/- 0.000%,0.2688327213551733,0.04098351580698443,0.268833 +/- 0.040984,2.9178414948039064,0.44344141607980403,2.917841 +/- 0.443441,0.8744711030800477,0.005577904390509544,0.874471 +/- 0.005578,0.8975458987431619,0.007718791246646252,89.755% +/- 0.772%
B,Stable-Tail-TailOnlyRaw-a010,0.25,0.0,10,0.06677966736941052,0.006812532679417294,6.678% +/- 0.681%,7.452303183538137,0.8592784806106638,7.452303 +/- 0.859278,0.15304898894428165,0.03804509473953199,15.305% +/- 3.805%,0.20406114359403862,0.03795845019934139,0.204061 +/- 0.037958,2.5043382384711004,0.35309574498843693,2.504338 +/- 0.353096,0.8722381695016924,0.0058034347953126375,0.872238 +/- 0.005803,0.8900940565786161,0.007952682222765956,89.009% +/- 0.795%
B,Stable-Tail-TailOnlyRaw-a010,0.5,0.0,10,0.12777134566434345,0.011000261805999513,12.777% +/- 1.100%,5.674059866705002,0.8871486737053101,5.674060 +/- 0.887149,0.3570478165887388,0.049725602006086486,35.705% +/- 4.973%,0.15034538411814055,0.028081973788605583,0.150345 +/- 0.028082,2.012258033027494,0.353410065350513,2.012258 +/- 0.353410,0.8559438904392666,0.010608278611387956,0.855944 +/- 0.010608,0.8597309918495982,0.014668176982375375,85.973% +/- 1.467%
B,Stable-Tail-TailOnlyRaw-a010,1.0,0.0,10,0.20314972253542857,0.015316094521174599,20.315% +/- 1.532%,3.823320839019379,0.5044820433375126,3.823321 +/- 0.504482,0.5642391974939222,0.048756699528828405,56.424% +/- 4.876%,0.09433040392952458,0.016122820005663688,0.094330 +/- 0.016123,1.3863299308783386,0.238439582691064,1.386330 +/- 0.238440,0.8229652934506868,0.017225572269483794,0.822965 +/- 0.017226,0.8036769723960642,0.02200934547937737,80.368% +/- 2.201%
B,Stable-Tail-TailOnlyRaw-a010,2.0,0.0,10,0.31658322334751104,0.027566162714358213,31.658% +/- 2.757%,3.1939044229398634,0.4917554511920562,3.193904 +/- 0.491755,0.6377010755180845,0.03350242386946508,63.770% +/- 3.350%,0.07322817324798286,0.01554896069360417,0.073228 +/- 0.015549,1.1687602996297248,0.2920128780005282,1.168760 +/- 0.292013,0.8038673527321558,0.02086213022584197,0.803867 +/- 0.020862,0.7698528361963615,0.02806943706987441,76.985% +/- 2.807%
B,Stable-Tail-TailOnlyRaw-a020,0.0,0.0,10,0.0,0.0,0.000% +/- 0.000%,9.321791500601256,1.1809425989218016,9.321792 +/- 1.180943,0.0,0.0,0.000% +/- 0.000%,0.28769821934433815,0.04131695079023439,0.287698 +/- 0.041317,3.1563544095159157,0.4696914661342603,3.156354 +/- 0.469691,0.8773029316193814,0.005842888382167608,0.877303 +/- 0.005843,0.9025999277542407,0.008839857861599708,90.260% +/- 0.884%
B,Stable-Tail-TailOnlyRaw-a020,0.25,0.0,10,0.06691263229623122,0.00685148044532106,6.691% +/- 0.685%,7.7349700418035185,0.9942531312063692,7.734970 +/- 0.994253,0.17016032612695203,0.02543104283219756,17.016% +/- 2.543%,0.21378212771686272,0.039499725680083156,0.213782 +/- 0.039500,2.5980143781687,0.36305294828364315,2.598014 +/- 0.363053,0.8746653108264084,0.005611073364364246,0.874665 +/- 0.005611,0.8936774158980902,0.00849913961349366,89.368% +/- 0.850%
B,Stable-Tail-TailOnlyRaw-a020,0.5,0.0,10,0.12594162763282277,0.01312679236904093,12.594% +/- 1.313%,5.924936237132229,0.8987115549129557,5.924936 +/- 0.898712,0.3644036449437642,0.051421385181972375,36.440% +/- 5.142%,0.15496515540030142,0.028217742920357447,0.154965 +/- 0.028218,2.0659218552074328,0.3171519413532909,2.065922 +/- 0.317152,0.860245635839643,0.00879160477400914,0.860246 +/- 0.008792,0.8655662689776964,0.013516180855896962,86.557% +/- 1.352%
B,Stable-Tail-TailOnlyRaw-a020,1.0,0.0,10,0.20174271233918062,0.01651559877136313,20.174% +/- 1.652%,3.942673835655735,0.5145576435423215,3.942674 +/- 0.514558,0.575460762496478,0.041226527662914736,57.546% +/- 4.123%,0.09833674418456093,0.016063049698448986,0.098337 +/- 0.016063,1.4785249924455914,0.22827663675408627,1.478525 +/- 0.228277,0.8276803139640236,0.016183499562635303,0.827680 +/- 0.016183,0.8088527486475954,0.020761663079268747,80.885% +/- 2.076%
B,Stable-Tail-TailOnlyRaw-a020,2.0,0.0,10,0.31546070154167355,0.03064544734630418,31.546% +/- 3.065%,3.2973611512906924,0.5106908460852959,3.297361 +/- 0.510691,0.6460551957452346,0.034294208062645416,64.606% +/- 3.429%,0.07616939308091711,0.017314918764781032,0.076169 +/- 0.017315,1.244335078858133,0.34448507483222557,1.244335 +/- 0.344485,0.8089121228726436,0.021071402210451576,0.808912 +/- 0.021071,0.7758289421693195,0.02792270071878999,77.583% +/- 2.792%
B,Stable-Tail-TailOnlyRaw-a030,0.0,0.0,10,0.0,0.0,0.000% +/- 0.000%,9.617026665019406,1.293714457285037,9.617027 +/- 1.293714,0.0,0.0,0.000% +/- 0.000%,0.29371776548237793,0.044886471595974906,0.293718 +/- 0.044886,3.152026768996584,0.4360595705831134,3.152027 +/- 0.436060,0.8800467863638951,0.006078024889106646,0.880047 +/- 0.006078,0.9056197107812078,0.008282298912366731,90.562% +/- 0.828%
B,Stable-Tail-TailOnlyRaw-a030,0.25,0.0,10,0.06734854977308154,0.007723323593879374,6.735% +/- 0.772%,8.063144905572917,1.0634573151666569,8.063145 +/- 1.063457,0.161000552980295,0.0282312232661414,16.100% +/- 2.823%,0.22221736402510198,0.04423706647329208,0.222217 +/- 0.044237,2.669985751998527,0.3412689041262265,2.669986 +/- 0.341269,0.8782435246345743,0.006380910516926449,0.878244 +/- 0.006381,0.897779945356615,0.009380086497618635,89.778% +/- 0.938%
B,Stable-Tail-TailOnlyRaw-a030,0.5,0.0,10,0.12679912689369027,0.012569827233718167,12.680% +/- 1.257%,6.182660739738574,0.9911747008958571,6.182661 +/- 0.991175,0.3564058646495198,0.05924596120140183,35.641% +/- 5.925%,0.1655694409559705,0.0329179421909864,0.165569 +/- 0.032918,2.1593593417527552,0.3474594918050169,2.159359 +/- 0.347459,0.8650082070710108,0.00935848363929979,0.865008 +/- 0.009358,0.8719085643079721,0.013536420650683905,87.191% +/- 1.354%
B,Stable-Tail-TailOnlyRaw-a030,1.0,0.0,10,0.20194354599227862,0.018527040272844058,20.194% +/- 1.853%,4.060426015479992,0.5399348104168024,4.060426 +/- 0.539935,0.5752491508979004,0.04925398153481775,57.525% +/- 4.925%,0.10291304135498144,0.018417547374007807,0.102913 +/- 0.018418,1.5788061346908688,0.2932247814888241,1.578806 +/- 0.293225,0.8332076932324624,0.018037620067816507,0.833208 +/- 0.018038,0.8160327910193348,0.022556523778723355,81.603% +/- 2.256%
B,Stable-Tail-TailOnlyRaw-a030,2.0,0.0,10,0.3147076851662193,0.03169544371278361,31.471% +/- 3.170%,3.4116625632183504,0.5691764041973043,3.411663 +/- 0.569176,0.6448782962297431,0.03932221776629146,64.488% +/- 3.932%,0.07923336200213041,0.018325155466659724,0.079233 +/- 0.018325,1.3106599654838191,0.38300516160084275,1.310660 +/- 0.383005,0.8151062804851377,0.022940570649581386,0.815106 +/- 0.022941,0.7839137028149099,0.03055064857871324,78.391% +/- 3.055%
