method,customer_set,budget,value_mean,value_std,cost_increase_mean,model_seeds,metric
TEG-low,A,0.29,2.836891935338993,0.16965816530762765,0.24996839487938827,10,CommonRisk
TEG-low,A,0.295,2.792108431949701,0.17998939044800605,0.2583272780550719,10,CommonRisk
TEG-low,A,0.3,2.754245514241292,0.22964824622653388,0.2633436392782379,10,CommonRisk
TEG-low,A,0.305,2.7468996902261407,0.24552057601749522,0.26482821375679644,10,CommonRisk
TEG-low,A,0.31,2.7468996902261407,0.24552057601749522,0.26482821375679644,10,CommonRisk
TEG-low,A,0.315,2.743091413553552,0.24254970210301008,0.2653729274444163,10,CommonRisk
TEG-low,A,0.32,2.719842963919196,0.23431721675786413,0.2713242416393819,10,CommonRisk
TEG-low,A,0.325,2.68208208774603,0.226217406287383,0.27823594190935913,10,CommonRisk
TEG-low,A,0.33,2.666292578928169,0.2258990531498985,0.282272433519199,10,CommonRisk
TEG-low,A,0.335,2.6451322969895656,0.22249493253817623,0.2840710420003843,10,CommonRisk
TEG-low,A,0.34,2.6265294168976747,0.19543177145588086,0.28651846223529404,10,CommonRisk
TEG-low,A,0.345,2.596969294048812,0.16585820534751422,0.2926361962097347,10,CommonRisk
TEG-low,A,0.35,2.58002532792452,0.16983688497143468,0.2971984460393968,10,CommonRisk
TEG-low,A,0.355,2.575894634171833,0.17439987650514457,0.2987511613217494,10,CommonRisk
TEG-low,A,0.36,2.572922559749254,0.17820377663529263,0.2996178906759189,10,CommonRisk
TEG-low,A,0.365,2.572922559749254,0.17820377663529263,0.2996178906759189,10,CommonRisk
TEG-low,A,0.37,2.572922559749254,0.17820377663529263,0.2996178906759189,10,CommonRisk
TEG-low,A,0.375,2.552057982692575,0.19078064155801952,0.3048954595570441,10,CommonRisk
TEG-low,A,0.38,2.552057982692575,0.19078064155801952,0.3048954595570441,10,CommonRisk
TEG-low,A,0.385,2.5441156561579463,0.20361262194217744,0.3100856252710952,10,CommonRisk
TEG-low,A,0.39,2.5121957531798,0.1799352190453191,0.31925304146822525,10,CommonRisk
TEG-low,A,0.395,2.510630823279879,0.1799607791310863,0.3212596535565556,10,CommonRisk
TEG-low,A,0.4,2.510630823279879,0.1799607791310863,0.3212596535565556,10,CommonRisk
TEG-low,B,0.1,8.395030415896514,0.009700051356791955,4.5548257179843e-05,10,CommonRisk
TEG-low,B,0.105,8.395030415896514,0.009700051356791955,4.5548257179843e-05,10,CommonRisk
TEG-low,B,0.11,8.395030415896514,0.009700051356791955,4.5548257179843e-05,10,CommonRisk
TEG-low,B,0.115,8.395030415896514,0.009700051356791955,4.5548257179843e-05,10,CommonRisk
TEG-low,B,0.12,8.26208318430768,0.33461881260870546,0.004801198837509714,10,CommonRisk
TEG-low,B,0.125,7.91532060090356,0.6926782293530432,0.020737110003573783,10,CommonRisk
TEG-low,B,0.13,7.3364369851914075,0.9242579400574819,0.0474608802439224,10,CommonRisk
TEG-low,B,0.135,6.555824283276462,0.9663199570003387,0.0844539645962686,10,CommonRisk
TEG-low,B,0.14,5.995023399036945,0.813547027649735,0.10916332466469758,10,CommonRisk
TEG-low,B,0.145,5.784952548933951,0.7177739945323276,0.12045160529179817,10,CommonRisk
TEG-low,B,0.15,5.570761154482682,0.4631781015248326,0.13076805054463542,10,CommonRisk
TEG-low,B,0.155,5.529789293964852,0.494644818271338,0.13227449921894138,10,CommonRisk
TEG-low,B,0.16,5.529789293964852,0.494644818271338,0.13227449921894138,10,CommonRisk
TEG-low,B,0.165,5.529789293964852,0.494644818271338,0.13227449921894138,10,CommonRisk
TEG-low,B,0.17,5.529789293964852,0.494644818271338,0.13227449921894138,10,CommonRisk
TEG-low,B,0.175,5.529789293964852,0.494644818271338,0.13227449921894138,10,CommonRisk
TEG-low,B,0.18,5.529789293964852,0.494644818271338,0.13227449921894138,10,CommonRisk
TEG-low,B,0.185,5.529789293964852,0.494644818271338,0.13227449921894138,10,CommonRisk
TEG-low,B,0.19,5.529789293964852,0.494644818271338,0.13227449921894138,10,CommonRisk
TEG-low,B,0.195,5.484690869937583,0.5146262549055151,0.13511967671164485,10,CommonRisk
TEG-low,B,0.2,5.41892023500164,0.5512679239812848,0.14028539636270354,10,CommonRisk
TEG-low,B,0.205,5.211796289119956,0.5194440590274546,0.15186571291435783,10,CommonRisk
TEG-low,B,0.21,4.919628734594725,0.5820805858402368,0.16588332402769507,10,CommonRisk
TEG-low,B,0.215,4.653855612602568,0.5729840110706335,0.17799468272706587,10,CommonRisk
TEG-low,B,0.22,4.499184129212763,0.6204878472439782,0.18626474803992438,10,CommonRisk
TEG-low,B,0.225,4.349992810574105,0.5763201350055686,0.19392324452420703,10,CommonRisk
TEG-low,B,0.23,4.263257436817423,0.4584261429204178,0.20026291415642614,10,CommonRisk
TEG-low,B,0.235,4.111423190815609,0.2590356028206929,0.20845211335826447,10,CommonRisk
TEG-low,B,0.24,4.103383006997397,0.24282337431109524,0.20945136673503767,10,CommonRisk
TEG-low,B,0.245,4.076951928324981,0.20329147961596095,0.2141640860755576,10,CommonRisk
