model,split,seed,epochs,experiment_tag,alpha_ord,alpha_hr,alpha_topk,topk_frac,stage1_epochs,eval_split,macro_f1,weighted_f1,mae,qwk,recall_6_8,precision_6_8,pr_auc_high,high_fn_rate
teg_gnn,A,4,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2020_train,0.6709750524244542,0.7904485686631786,1.0627707388989696,0.7683725071472791,0.8064516129032258,0.8928571428571429,0.9388481891546885,0.1935483870967742
teg_gnn,A,4,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2020_val,0.1769643310484895,0.4825569095371076,1.897652516203039,0.001997503121098587,0.1111111111111111,0.125,0.15135238541821236,0.8888888888888888
teg_gnn,A,4,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2021_test,0.33011821382612205,0.5839578443455227,1.6237221416829508,0.33227418724800994,0.35294117647058826,0.4186046511627907,0.36491411424917886,0.6470588235294118
teg_gnn,B,0,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2020_train,0.5041126646328868,0.734483634600719,1.173285668707785,0.6708534915258209,0.725,0.725,0.8377096577150774,0.275
teg_gnn,B,0,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2021_train,0.5833944713889566,0.7415750863426777,1.0514020784508367,0.6966836076891725,0.72,0.8181818181818182,0.9138642200711168,0.28
teg_gnn,B,0,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2021_test,0.29169203971911345,0.5851251761966048,1.493155209451996,0.348845326697668,0.3076923076923077,0.42105263157894735,0.3994161953772197,0.6923076923076923
teg_gnn,B,1,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2020_train,0.6090250655243413,0.7749632598905647,1.2514160452542238,0.6838988980524412,0.725,0.7073170731707317,0.8220018010196349,0.275
teg_gnn,B,1,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2021_train,0.6424177641607219,0.767528191223303,1.1237827527274187,0.7119749014202706,0.68,0.8095238095238095,0.9104849160788115,0.32
teg_gnn,B,1,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2021_test,0.2381212440233364,0.5643811427467171,1.6684614906342157,0.25800426054379655,0.2692307692307692,0.30434782608695654,0.2922597559916648,0.7307692307692307
teg_gnn,B,2,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2020_train,0.5888616463444707,0.7391201258193766,1.2485476161595124,0.6327555594547285,0.7,0.6829268292682927,0.805362977155878,0.3
teg_gnn,B,2,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2021_train,0.6919261381260242,0.7919571646011583,1.1275644360911434,0.7252297080853387,0.72,0.8181818181818182,0.8807190755208785,0.28
teg_gnn,B,2,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2021_test,0.2782996517371517,0.5815878753378754,1.534327542748083,0.3523246738766864,0.34615384615384615,0.4090909090909091,0.4131748853334019,0.6538461538461539
teg_gnn,B,3,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2020_train,0.5237602071841202,0.7135438408915632,1.2478169926202738,0.5951269101176065,0.575,0.71875,0.7951592901551469,0.425
teg_gnn,B,3,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2021_train,0.6622740723677216,0.8136816957953152,1.0245071024360215,0.7458950137255268,0.76,0.8260869565217391,0.9016130191233822,0.24
teg_gnn,B,3,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2021_test,0.2547344471697782,0.5368769286425692,1.6034563409313811,0.16509042641446814,0.07692307692307693,0.2857142857142857,0.2738865108386866,0.9230769230769231
teg_gnn,B,4,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2020_train,0.5379477328206621,0.7326135805680524,1.3063805451771606,0.5850899315323058,0.6,0.6666666666666666,0.7741783726945893,0.4
teg_gnn,B,4,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2021_train,0.7013792045760658,0.8206529778222497,1.1136488346074283,0.7705209845410526,0.8,0.8,0.911282035483947,0.2
teg_gnn,B,4,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2021_test,0.27527783607361833,0.5763245591735968,1.6770033088716305,0.24744861290786258,0.19230769230769232,0.3333333333333333,0.3861321396019075,0.8076923076923077
gcn_teg_concat,A,0,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2020_train,0.47962474793191956,0.7778796508609427,0.470190267858646,0.8149415869323888,0.967741935483871,0.8823529411764706,0.9418152808549383,0.03225806451612903
gcn_teg_concat,A,0,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2020_val,0.26845103425985783,0.6380625327053898,1.2581321365121667,0.2222222222222221,0.2222222222222222,0.6666666666666666,0.3076306231945319,0.7777777777777778
gcn_teg_concat,A,0,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2021_test,0.2733024674116034,0.6227834236523908,1.1711636747534888,0.2754903023508086,0.2549019607843137,0.52,0.34553588848936173,0.7450980392156863
gcn_teg_concat,A,1,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2020_train,0.5109056934986054,0.75495266891903,0.577564210617256,0.7594609438840441,0.8387096774193549,0.8666666666666667,0.9375752140092355,0.16129032258064516
gcn_teg_concat,A,1,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2020_val,0.2860944527736132,0.6356678803455416,1.2133574785671253,0.4375324002073613,0.4444444444444444,0.6666666666666666,0.47451549377503965,0.5555555555555556
gcn_teg_concat,A,1,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2021_test,0.3320025349137866,0.6331895250377154,1.1723294862536493,0.3487942746652902,0.3137254901960784,0.5,0.43843499121690477,0.6862745098039216
