risk_source,customer_set,budget,selector,runs,value_mean,value_std,selected_cost_increase_mean
A_Stable-Tail-eta0.3_seed2,A,0.25,cvar95,10,0.16038573480375362,0.016972170596899473,0.17650552993883478
A_Stable-Tail-eta0.3_seed2,A,0.25,edge_gini,10,0.754965206175458,0.0095708610388141,0.17650552993883478
A_Stable-Tail-eta0.3_seed2,A,0.25,load_cvar90,10,0.04784468127339809,0.004883548336070182,0.17650552993883478
A_Stable-Tail-eta0.3_seed2,A,0.25,load_risk,10,1.6784435657488206,0.1423065253264204,0.17650552993883478
A_Stable-Tail-eta0.3_seed2,A,0.25,top10_share,10,0.756915310253045,0.013894173053072497,0.17650552993883478
A_Stable-Tail-eta0.3_seed2,A,0.3,common_risk,10,2.7763016145043675,0.17777856912804277,0.28259781290354963
A_Stable-Tail-eta0.3_seed2,A,0.3,cvar90,10,0.05879996875497184,0.011863513441697183,0.2717266739974547
A_Stable-Tail-eta0.3_seed2,A,0.3,cvar95,10,0.12173287557941781,0.012774753494160703,0.28259781290354963
A_Stable-Tail-eta0.3_seed2,A,0.3,edge_gini,10,0.7195331212121056,0.01443115329091476,0.2717266739974547
A_Stable-Tail-eta0.3_seed2,A,0.3,load_cvar90,10,0.03836348995700577,0.0031843959662425023,0.28259781290354963
A_Stable-Tail-eta0.3_seed2,A,0.3,load_risk,10,1.4533853831795114,0.07831897190441284,0.2723431057086124
A_Stable-Tail-eta0.3_seed2,A,0.3,top10_share,10,0.710386609702242,0.019539543569625773,0.2717266739974547
A_Stable-Tail-eta0.3_seed3,A,0.25,common_risk,10,3.0840155992718783,0.06001953577416325,0.2158905365621889
A_Stable-Tail-eta0.3_seed3,A,0.25,cvar90,10,0.06810285169277207,0.008213520035944643,0.2242444549334957
A_Stable-Tail-eta0.3_seed3,A,0.25,cvar95,10,0.14047073304956165,0.018909430991357785,0.2158905365621889
A_Stable-Tail-eta0.3_seed3,A,0.25,edge_gini,10,0.744831570162026,0.0033983477027942927,0.2158905365621889
A_Stable-Tail-eta0.3_seed3,A,0.25,load_cvar90,10,0.04019293680054142,0.0041361631011086345,0.2153636590947829
A_Stable-Tail-eta0.3_seed3,A,0.25,load_risk,10,1.496392551611558,0.1380052170799244,0.2153636590947829
A_Stable-Tail-eta0.3_seed3,A,0.25,top10_share,10,0.7430595617933388,0.005311949147226934,0.2158905365621889
A_Stable-Tail-eta0.3_seed3,A,0.3,common_risk,10,3.0840155992718783,0.06001953577416325,0.2158905365621889
A_Stable-Tail-eta0.3_seed3,A,0.3,cvar90,10,0.06810285169277207,0.008213520035944643,0.2242444549334957
A_Stable-Tail-eta0.3_seed3,A,0.3,cvar95,10,0.14047073304956165,0.018909430991357785,0.2158905365621889
A_Stable-Tail-eta0.3_seed3,A,0.3,edge_gini,10,0.744831570162026,0.0033983477027942927,0.2158905365621889
A_Stable-Tail-eta0.3_seed3,A,0.3,load_cvar90,10,0.04019293680054142,0.0041361631011086345,0.2153636590947829
A_Stable-Tail-eta0.3_seed3,A,0.3,load_risk,10,1.496392551611558,0.1380052170799244,0.2153636590947829
A_Stable-Tail-eta0.3_seed3,A,0.3,top10_share,10,0.7430595617933388,0.005311949147226934,0.2158905365621889
A_Stable-Tail-eta0.3_seed4,A,0.25,common_risk,10,3.1623606978344467,0.0712164414595673,0.1976283097917791
A_Stable-Tail-eta0.3_seed4,A,0.25,cvar90,10,0.08319539761074861,0.0031247613543171765,0.1976283097917791
A_Stable-Tail-eta0.3_seed4,A,0.25,cvar95,10,0.14939449505921762,0.008366278946465154,0.1976283097917791
A_Stable-Tail-eta0.3_seed4,A,0.25,edge_gini,10,0.7527289336978138,0.006092387439119494,0.1976283097917791
A_Stable-Tail-eta0.3_seed4,A,0.25,load_cvar90,10,0.047509990986976315,0.004213931611556242,0.1976283097917791
A_Stable-Tail-eta0.3_seed4,A,0.25,load_risk,10,1.691453014888688,0.12587420381029024,0.1976283097917791
A_Stable-Tail-eta0.3_seed4,A,0.25,top10_share,10,0.7514454105662687,0.0076920710540192205,0.1976283097917791
A_Stable-Tail-eta0.3_seed4,A,0.3,common_risk,10,3.1623606978344467,0.0712164414595673,0.1976283097917791
A_Stable-Tail-eta0.3_seed4,A,0.3,cvar90,10,0.08319539761074861,0.0031247613543171765,0.1976283097917791
A_Stable-Tail-eta0.3_seed4,A,0.3,cvar95,10,0.14939449505921762,0.008366278946465154,0.1976283097917791
A_Stable-Tail-eta0.3_seed4,A,0.3,edge_gini,10,0.7527289336978138,0.006092387439119494,0.1976283097917791
A_Stable-Tail-eta0.3_seed4,A,0.3,load_cvar90,10,0.047509990986976315,0.004213931611556242,0.1976283097917791
A_Stable-Tail-eta0.3_seed4,A,0.3,load_risk,10,1.691453014888688,0.12587420381029024,0.1976283097917791
A_Stable-Tail-eta0.3_seed4,A,0.3,top10_share,10,0.7514454105662687,0.0076920710540192205,0.1976283097917791
A_Stable-Tail-eta0.3_seed5,A,0.25,common_risk,10,2.843482836868989,0.2234783308362294,0.21370771379666417
A_Stable-Tail-eta0.3_seed5,A,0.25,cvar90,10,0.06011491278093931,0.016587907900349416,0.21370771379666417
A_Stable-Tail-eta0.3_seed5,A,0.25,cvar95,10,0.11997867468703564,0.032055652098193006,0.21370771379666417
A_Stable-Tail-eta0.3_seed5,A,0.25,edge_gini,10,0.7289111740636398,0.015508543583035085,0.21370771379666417
A_Stable-Tail-eta0.3_seed5,A,0.25,load_cvar90,10,0.03609865809301664,0.005246404504072375,0.22947367957982742
A_Stable-Tail-eta0.3_seed5,A,0.25,load_risk,10,1.4171543414415488,0.1341998634144176,0.22159072610290984
A_Stable-Tail-eta0.3_seed5,A,0.25,top10_share,10,0.7223810203408999,0.019844694644891313,0.22947367957982742
A_Stable-Tail-eta0.3_seed5,A,0.3,common_risk,10,2.843482836868989,0.2234783308362294,0.21370771379666417
A_Stable-Tail-eta0.3_seed5,A,0.3,cvar90,10,0.06011491278093931,0.016587907900349416,0.21370771379666417
A_Stable-Tail-eta0.3_seed5,A,0.3,cvar95,10,0.11997867468703564,0.032055652098193006,0.21370771379666417
A_Stable-Tail-eta0.3_seed5,A,0.3,edge_gini,10,0.7289111740636398,0.015508543583035085,0.21370771379666417
A_Stable-Tail-eta0.3_seed5,A,0.3,load_cvar90,10,0.03609865809301664,0.005246404504072375,0.22947367957982742
A_Stable-Tail-eta0.3_seed5,A,0.3,load_risk,10,1.4171543414415488,0.1341998634144176,0.22159072610290984
A_Stable-Tail-eta0.3_seed5,A,0.3,top10_share,10,0.7223810203408999,0.019844694644891313,0.22947367957982742
A_Stable-Tail-eta0.3_seed6,A,0.25,common_risk,10,3.229711836657441,0.19851782415621533,0.18409820373853236
A_Stable-Tail-eta0.3_seed6,A,0.25,cvar90,10,0.08047791730161921,0.01428659193370729,0.18409820373853236
A_Stable-Tail-eta0.3_seed6,A,0.25,cvar95,10,0.15197059047545197,0.02784029010099255,0.18409820373853236
A_Stable-Tail-eta0.3_seed6,A,0.25,edge_gini,10,0.7561310489687424,0.01089224574664371,0.18409820373853236
A_Stable-Tail-eta0.3_seed6,A,0.25,load_cvar90,10,0.04673430714970004,0.00500400348087492,0.18409820373853236
A_Stable-Tail-eta0.3_seed6,A,0.25,load_risk,10,1.652349956427269,0.12373085306944005,0.18409820373853236
A_Stable-Tail-eta0.3_seed6,A,0.25,top10_share,10,0.7569904767916495,0.014337920884617838,0.18409820373853236
A_Stable-Tail-eta0.3_seed6,A,0.3,common_risk,10,2.782918728013302,0.18653509234476426,0.2854807010589121
A_Stable-Tail-eta0.3_seed6,A,0.3,cvar90,10,0.05252086755757211,0.005932149224992423,0.2854807010589121
A_Stable-Tail-eta0.3_seed6,A,0.3,cvar95,10,0.11019084579848719,0.036967766392905735,0.27523718814444376
A_Stable-Tail-eta0.3_seed6,A,0.3,edge_gini,10,0.7267167711850476,0.015228586508252942,0.2854807010589121
A_Stable-Tail-eta0.3_seed6,A,0.3,load_cvar90,10,0.032165932357761565,0.003731363973359117,0.2854807010589121
A_Stable-Tail-eta0.3_seed6,A,0.3,load_risk,10,1.2888760266025492,0.09193668329544538,0.2854807010589121
A_Stable-Tail-eta0.3_seed6,A,0.3,top10_share,10,0.7158183030815105,0.018696798329711533,0.2854807010589121
A_Stable-Tail-eta0.3_seed7,A,0.25,common_risk,10,3.1102970280418334,0.11403070317708429,0.18064739985017467
A_Stable-Tail-eta0.3_seed7,A,0.25,cvar90,10,0.07800323168017287,0.006536058895893557,0.18064739985017467
A_Stable-Tail-eta0.3_seed7,A,0.25,cvar95,10,0.15059190914044657,0.010849622477259967,0.18064739985017467
A_Stable-Tail-eta0.3_seed7,A,0.25,edge_gini,10,0.7476128378353242,0.0072869171378142,0.18064739985017467
A_Stable-Tail-eta0.3_seed7,A,0.25,load_cvar90,10,0.04246851125663297,0.004161585544136677,0.18064739985017467
A_Stable-Tail-eta0.3_seed7,A,0.25,load_risk,10,1.558421883518752,0.1418158954923011,0.18064739985017467
A_Stable-Tail-eta0.3_seed7,A,0.25,top10_share,10,0.746695923420474,0.007909518103540576,0.18064739985017467
A_Stable-Tail-eta0.3_seed7,A,0.3,common_risk,10,2.7923241148447153,0.17641669123512838,0.265271474968385
A_Stable-Tail-eta0.3_seed7,A,0.3,cvar90,10,0.05400543702608929,0.011608511394413495,0.265271474968385
A_Stable-Tail-eta0.3_seed7,A,0.3,cvar95,10,0.12136629588673697,0.011450160215640246,0.265271474968385
A_Stable-Tail-eta0.3_seed7,A,0.3,edge_gini,10,0.7259902567825061,0.016625138076895758,0.2558063376891922
A_Stable-Tail-eta0.3_seed7,A,0.3,load_cvar90,10,0.033639641262049984,0.004843964753031224,0.265271474968385
