model,split,seed,epochs,experiment_tag,alpha_ord,alpha_hr,alpha_topk,topk_frac,stage1_epochs,eval_split,macro_f1,weighted_f1,mae,qwk,recall_6_8,precision_6_8,pr_auc_high,high_fn_rate
teg_gnn,A,2,50,gcn_stabilized_lowtail_10seed,0.3,0.5,0.1,0.2,0,data_2020_val,0.21678353110391943,0.5264935531925824,1.8493389305172854,0.07233273056057865,0.2222222222222222,0.2857142857142857,0.2957227837337508,0.7777777777777778
teg_gnn,A,2,50,gcn_stabilized_lowtail_10seed,0.3,0.5,0.1,0.2,0,data_2021_test,0.3236554975239445,0.5703463368425948,1.6403176016872745,0.3253707913786935,0.35294117647058826,0.4,0.37337291033673836,0.6470588235294118
teg_gnn,A,3,50,gcn_stabilized_lowtail_10seed,0.3,0.5,0.1,0.2,0,data_2020_train,0.6483728448614072,0.7658023017795692,1.112394270144529,0.6358253644983343,0.7096774193548387,0.7096774193548387,0.864155661644222,0.2903225806451613
teg_gnn,A,3,50,gcn_stabilized_lowtail_10seed,0.3,0.5,0.1,0.2,0,data_2020_val,0.20330598194375285,0.5126058152373941,1.970207833521288,0.1373368146214099,0.2222222222222222,0.2857142857142857,0.2781827074579963,0.7777777777777778
teg_gnn,A,3,50,gcn_stabilized_lowtail_10seed,0.3,0.5,0.1,0.2,0,data_2021_test,0.3499951650383732,0.571885092505037,1.6204235213999774,0.3118627973550906,0.29411764705882354,0.4411764705882353,0.395244860569297,0.7058823529411765
teg_gnn,A,4,50,gcn_stabilized_lowtail_10seed,0.3,0.5,0.1,0.2,0,data_2020_train,0.6709750524244542,0.7904485686631786,1.0627707293944166,0.7683725071472791,0.8064516129032258,0.8928571428571429,0.9388481891546885,0.1935483870967742
teg_gnn,A,4,50,gcn_stabilized_lowtail_10seed,0.3,0.5,0.1,0.2,0,data_2020_val,0.1769643310484895,0.4825569095371076,1.8976525806913054,0.001997503121098587,0.1111111111111111,0.125,0.15135238541821236,0.8888888888888888
teg_gnn,A,4,50,gcn_stabilized_lowtail_10seed,0.3,0.5,0.1,0.2,0,data_2021_test,0.33011821382612205,0.5839578443455227,1.6237221522015752,0.33227418724800994,0.35294117647058826,0.4186046511627907,0.36491411424917886,0.6470588235294118
teg_gnn,A,5,50,gcn_stabilized_lowtail_10seed,0.3,0.5,0.1,0.2,0,data_2020_train,0.674073866584593,0.7436903368941371,1.110073765536579,0.758515525982256,0.8387096774193549,0.8125,0.9338067113577733,0.16129032258064516
teg_gnn,A,5,50,gcn_stabilized_lowtail_10seed,0.3,0.5,0.1,0.2,0,data_2020_val,0.23489219114219118,0.5309482184482185,1.8491993608778377,0.20071364852809992,0.3333333333333333,0.3333333333333333,0.1931277863535928,0.6666666666666666
teg_gnn,A,5,50,gcn_stabilized_lowtail_10seed,0.3,0.5,0.1,0.2,0,data_2021_test,0.3191447500449582,0.545895138794092,1.7051445663767115,0.30003157452524487,0.3333333333333333,0.37777777777777777,0.320763447905115,0.6666666666666666
teg_gnn,A,6,50,gcn_stabilized_lowtail_10seed,0.3,0.5,0.1,0.2,0,data_2020_train,0.7149865297801077,0.8235644526483908,1.01561154710214,0.8276124455908431,0.9354838709677419,0.8529411764705882,0.9477053901305665,0.06451612903225806
teg_gnn,A,6,50,gcn_stabilized_lowtail_10seed,0.3,0.5,0.1,0.2,0,data_2020_val,0.21214183013248433,0.5950290252693458,1.935409465037368,0.20461341307133707,0.2222222222222222,0.18181818181818182,0.15331483047958144,0.7777777777777778
teg_gnn,A,6,50,gcn_stabilized_lowtail_10seed,0.3,0.5,0.1,0.2,0,data_2021_test,0.36398319199052315,0.6196007370805869,1.6631088643227847,0.40733314427744516,0.4117647058823529,0.45652173913043476,0.32671413309272845,0.5882352941176471
teg_gnn,A,7,50,gcn_stabilized_lowtail_10seed,0.3,0.5,0.1,0.2,0,data_2020_train,0.7091511907085678,0.8308915410456883,1.0680676060714827,0.7610596136767318,0.7741935483870968,0.8571428571428571,0.9283662237407921,0.22580645161290322
teg_gnn,A,7,50,gcn_stabilized_lowtail_10seed,0.3,0.5,0.1,0.2,0,data_2020_val,0.1859264184397163,0.4668608578183046,1.9737809180472417,0.14825174825174825,0.3333333333333333,0.3,0.21104703088427645,0.6666666666666666
teg_gnn,A,7,50,gcn_stabilized_lowtail_10seed,0.3,0.5,0.1,0.2,0,data_2021_test,0.3631294563279857,0.5870701102111273,1.681090847786859,0.34050741173702426,0.29411764705882354,0.4838709677419355,0.3041365786224081,0.7058823529411765
teg_gnn,A,8,50,gcn_stabilized_lowtail_10seed,0.3,0.5,0.1,0.2,0,data_2020_train,0.7278857563699908,0.8119783447510833,0.9990655136928822,0.756517172565907,0.8064516129032258,0.9259259259259259,0.9513979599588719,0.1935483870967742
teg_gnn,A,8,50,gcn_stabilized_lowtail_10seed,0.3,0.5,0.1,0.2,0,data_2020_val,0.21228632478632478,0.509147334147334,1.9554030981281716,0.10563674321503125,0.3333333333333333,0.3,0.22776507411106975,0.6666666666666666
teg_gnn,A,8,50,gcn_stabilized_lowtail_10seed,0.3,0.5,0.1,0.2,0,data_2021_test,0.3364111544856944,0.5859846894555633,1.6348817237596565,0.30367048915010975,0.3333333333333333,0.40476190476190477,0.36141434352881213,0.6666666666666666
teg_gnn,A,9,50,gcn_stabilized_lowtail_10seed,0.3,0.5,0.1,0.2,0,data_2020_train,0.6828005672044184,0.796582284150405,1.0251302668376634,0.69766529330979,0.7096774193548387,0.9166666666666666,0.9205003426889957,0.2903225806451613
teg_gnn,A,9,50,gcn_stabilized_lowtail_10seed,0.3,0.5,0.1,0.2,0,data_2020_val,0.1981192897141173,0.5204035268690441,1.5045250765844824,0.14798079638520178,0.2222222222222222,0.4,0.43505270469217333,0.7777777777777778
teg_gnn,A,9,50,gcn_stabilized_lowtail_10seed,0.3,0.5,0.1,0.2,0,data_2021_test,0.34317208647984343,0.5953703919134643,1.5653452285867597,0.3688933824230748,0.3333333333333333,0.5862068965517241,0.45110472804293483,0.6666666666666666
teg_gnn,B,0,50,gcn_stabilized_lowtail_10seed,0.3,0.5,0.1,0.2,0,data_2020_train,0.5041126646328868,0.734483634600719,1.1732197734187346,0.6708534915258209,0.725,0.725,0.8374873019458466,0.275
teg_gnn,B,0,50,gcn_stabilized_lowtail_10seed,0.3,0.5,0.1,0.2,0,data_2021_train,0.5833944713889566,0.7415750863426777,1.0512635925123759,0.6966836076891725,0.72,0.8181818181818182,0.9138642200711168,0.28
teg_gnn,B,0,50,gcn_stabilized_lowtail_10seed,0.3,0.5,0.1,0.2,0,data_2021_test,0.29169203971911345,0.5851251761966048,1.4930161617457816,0.348845326697668,0.3076923076923077,0.42105263157894735,0.4004382388556363,0.6923076923076923
teg_gnn,B,1,50,gcn_stabilized_lowtail_10seed,0.3,0.5,0.1,0.2,0,data_2020_train,0.6090250655243413,0.7749632598905647,1.2514160653028585,0.6838988980524412,0.725,0.7073170731707317,0.8220018010196349,0.275
teg_gnn,B,1,50,gcn_stabilized_lowtail_10seed,0.3,0.5,0.1,0.2,0,data_2021_train,0.6424177641607219,0.767528191223303,1.1237827657553296,0.7119749014202706,0.68,0.8095238095238095,0.9104849160788115,0.32
teg_gnn,B,1,50,gcn_stabilized_lowtail_10seed,0.3,0.5,0.1,0.2,0,data_2021_test,0.2381212440233364,0.5643811427467171,1.668461491489509,0.25800426054379655,0.2692307692307692,0.30434782608695654,0.2922597559916648,0.7307692307692307
teg_gnn,B,2,50,gcn_stabilized_lowtail_10seed,0.3,0.5,0.1,0.2,0,data_2020_train,0.5888616463444707,0.7391201258193766,1.2485476126745405,0.6327555594547285,0.7,0.6829268292682927,0.805362977155878,0.3
teg_gnn,B,2,50,gcn_stabilized_lowtail_10seed,0.3,0.5,0.1,0.2,0,data_2021_train,0.6919261381260242,0.7919571646011583,1.1275644557938103,0.7252297080853387,0.72,0.8181818181818182,0.8807190755208785,0.28
