risk_source,customer_set,beta,lambda_concentration,seed,common_global_risk,common_global_cvar90,common_max_vehicle_risk,common_max_vehicle_cvar90,common_vehicle_risk_gini,common_edge_burden_gini_used,common_top10_burden_share,common_max_edge_burden
ST-v1_seed4,B,1.5,1.0,5,3.05735350141992,0.06515331283508949,0.9385633737569195,0.07826342372871649,0.23591753378565872,0.7342008169452523,0.7205418856250482,0.5313090438090153
ST-v1_seed4,B,1.5,1.0,6,2.967513968535779,0.06416023282688026,0.8052537204018666,0.09420177305157329,0.15690353680323343,0.7225769533308024,0.7046760042647255,0.5313090438090153
ST-v1_seed4,B,1.5,1.0,7,3.0567605162181257,0.06515331283508949,0.9385633737569195,0.07826342372871649,0.2360408963078764,0.7343798586750734,0.720681664542363,0.5313090438090153
ST-v1_seed4,B,1.5,1.0,8,2.966688416633563,0.06416023282688026,0.8020197377696634,0.09420177305157329,0.1552030413383345,0.7229794884645686,0.7048720971919452,0.5313090438090153
ST-v1_seed4,B,1.5,1.0,9,2.9833500713220182,0.06283082543588692,1.1618393499892943,0.10389654182218548,0.31947282680470557,0.7188003742122577,0.7020552823517243,0.5313090438090153
ST-v1_seed5,A,1.5,1.0,0,2.6716147542712765,0.046072407571448114,0.7642362727498708,0.08484956882862046,0.18102557696779864,0.7082308262402508,0.6917289681247187,0.5313090438090153
ST-v1_seed5,A,1.5,1.0,1,2.6564374156728094,0.04800317057532187,0.7639066474895605,0.0942011733667149,0.22921036713130638,0.7093643048571487,0.6936542937950296,0.5313090438090153
ST-v1_seed5,A,1.5,1.0,2,2.653346535078902,0.0479284432778696,0.9647532227648579,0.09531349520162793,0.29656668042668555,0.7160237037721826,0.7006774806940801,0.5313090438090153
ST-v1_seed5,A,1.5,1.0,3,2.450960873666863,0.043582269290551985,0.883302882558306,0.11821519561844178,0.26479830882559185,0.6914704556485427,0.6707918895803278,0.5313090438090153
ST-v1_seed5,A,1.5,1.0,4,2.653346535078902,0.0479284432778696,0.9647532227648579,0.09531349520162793,0.3055091115348474,0.7160237037721826,0.7006774806940801,0.5313090438090153
ST-v1_seed5,A,1.5,1.0,5,2.6528607322293407,0.04792844327786961,0.9647532227648581,0.09531349520162793,0.30571155694409047,0.7135077418047513,0.6976872061402579,0.5313090438090153
ST-v1_seed5,A,1.5,1.0,6,2.653346535078902,0.0479284432778696,0.9647532227648579,0.09531349520162793,0.30456145489755193,0.7160237037721826,0.7006774806940801,0.5313090438090153
ST-v1_seed5,A,1.5,1.0,7,2.7762617346957428,0.04987908260983444,0.9647532227648579,0.09531349520162793,0.2912173997309604,0.7220347960703335,0.708956615860209,0.5313090438090153
ST-v1_seed5,A,1.5,1.0,8,2.65286073222934,0.0479284432778696,0.9647532227648579,0.09531349520162793,0.2917114094422162,0.7135077418047513,0.6976872061402579,0.5313090438090153
ST-v1_seed5,A,1.5,1.0,9,2.465261511376801,0.04298502620423269,0.7639066474895607,0.0942011733667149,0.25226001210337645,0.6883869733071564,0.6680595877988532,0.5313090438090153
ST-v1_seed5,B,1.5,1.0,0,3.2547123033072696,0.075793598392414,1.1215645170459005,0.13115998260057604,0.3434021860609753,0.7478042371393252,0.7381584790462208,0.5313090438090153
ST-v1_seed5,B,1.5,1.0,1,3.2595557945257907,0.07579359839241402,1.2684482283503975,0.15174343024491338,0.3615112841275687,0.747237506408265,0.7353579621659383,0.5313090438090153
ST-v1_seed5,B,1.5,1.0,2,3.2548366665826025,0.07579359839241402,1.0892167601076113,0.1022344930789563,0.331647864029462,0.7481517738583132,0.7381302749255312,0.5313090438090153
ST-v1_seed5,B,1.5,1.0,3,3.2780861859273545,0.07171476088745977,1.1037391912294048,0.13115998260057604,0.3343180084740478,0.7517581023338566,0.7373953260296336,0.5313090438090153
ST-v1_seed5,B,1.5,1.0,4,3.4141006657039634,0.07365743906767025,1.2684482283503973,0.1517434302449134,0.3279104876544232,0.7493091745887273,0.7393579464124541,0.5313090438090153
ST-v1_seed5,B,1.5,1.0,5,3.2780861859273545,0.07171476088745977,1.1037391912294048,0.13115998260057604,0.3387409104896142,0.7517581023338566,0.7373953260296336,0.5313090438090153
ST-v1_seed5,B,1.5,1.0,6,3.4006300860604055,0.07365743906767026,1.1215645170458999,0.13115998260057604,0.3281964743268424,0.7528393647064848,0.7450967231187682,0.5313090438090153
ST-v1_seed5,B,1.5,1.0,7,3.3778807390732504,0.07736111146004054,1.1215645170458999,0.13115998260057604,0.3161975828610888,0.7538355539175308,0.7454330173263025,0.5313090438090153
ST-v1_seed5,B,1.5,1.0,8,3.4182252736805,0.07365743906767024,1.1215645170458999,0.13115998260057604,0.32692761965498596,0.7467276018103419,0.7381930979769439,0.5313090438090153
ST-v1_seed5,B,1.5,1.0,9,3.2538867514050533,0.07579359839241401,1.1215645170458999,0.13115998260057604,0.34348931150497086,0.7481703080517954,0.7383457591155871,0.5313090438090153
ST-v1_seed6,A,1.5,1.0,0,2.470360422937834,0.041885107952774746,0.9279925011806582,0.09076702896280879,0.2745698345048453,0.6907931713275963,0.6723896904234076,0.5313090438090153
ST-v1_seed6,A,1.5,1.0,1,2.470360422937834,0.04188510795277474,0.9279925011806582,0.09076702896280879,0.27429837818846603,0.6907931713275961,0.6723896904234075,0.5313090438090153
