method,runs,hop_mean,hop_std,mean_risk_mean,mean_risk_std,max_risk_mean,max_risk_std,cvar80_mean,cvar80_std,cvar90_mean,cvar90_std,re_mean,re_std,hhi_mean,hhi_std,gini_mean,gini_std,total_risk_mean,total_risk_std,hop_increase_pct_mean,hop_increase_pct_std,risk_reduction_pct_mean,risk_reduction_pct_std,cvar90_reduction_pct_mean,cvar90_reduction_pct_std,total_risk_mean_baseline,total_risk_mean_method,total_risk_aggregate_reduction,total_risk_mean_per_od_reduction,total_risk_median_per_od_reduction,total_risk_wilcoxon_p,max_risk_mean_baseline,max_risk_mean_method,max_risk_aggregate_reduction,max_risk_mean_per_od_reduction,max_risk_median_per_od_reduction,max_risk_wilcoxon_p,cvar80_mean_baseline,cvar80_mean_method,cvar80_aggregate_reduction,cvar80_mean_per_od_reduction,cvar80_median_per_od_reduction,cvar80_wilcoxon_p,cvar90_mean_baseline,cvar90_mean_method,cvar90_aggregate_reduction,cvar90_mean_per_od_reduction,cvar90_median_per_od_reduction,cvar90_wilcoxon_p,re_mean_baseline,re_mean_method,re_aggregate_reduction,re_mean_per_od_reduction,re_median_per_od_reduction,re_wilcoxon_p,gini_mean_baseline,gini_mean_method,gini_aggregate_reduction,gini_mean_per_od_reduction,gini_median_per_od_reduction,gini_wilcoxon_p,path_overlap_with_cvar,selected_path_changed_rate,risk_source
CVaR-risk,150,9.973333333333333,2.590500629666831,0.004400216009171463,0.01018206677857875,0.018171867021980384,0.07969707141058878,0.011496084939248651,0.0408361565268628,0.017311688338458125,0.07926109663713643,0.002286756471563271,0.010170628464224571,0.1876418097516784,0.1397116209732441,0.37579435643973313,0.14139699339488307,0.040877582904569734,0.08575681254785243,0.10839428164426736,0.1260250856507345,0.5515362191546433,0.4136370616738445,0.6124929770594959,0.4192959819691255,0.2719741425266754,0.040877582904569734,0.8497004806204689,0.5515362191546433,0.7316551022668834,1.041596865734883e-20,0.1923921657858106,0.018171867021980384,0.9055477807598643,0.6085482416381366,0.9076518346372385,1.913367167611693e-20,0.11155367274108964,0.011496084939248651,0.8969457064239612,0.5927689423983923,0.842353454252464,1.9173569808103953e-20,0.16974744104418074,0.017311688338458125,0.8980150261302003,0.6124929770594959,0.9026224299679233,2.8740435362470353e-21,0.028651073387369465,0.002286756471563271,0.9201860104308849,0.6770496408333141,0.9471445898977852,1.3477406254273677e-20,0.6067343855753456,0.37579435643973313,0.3806278902690496,0.2700935581899836,0.3663261211365809,1.0166866209681699e-16,1.0,0.0,Stable-Tail-EdgeTail-a030_seed5
Hop-shortest,150,9.093333333333334,2.5733446928612973,0.031109649217952295,0.041392898623766654,0.1923921657858106,0.2384552689393913,0.11155367274108964,0.16067938529756068,0.16974744104418074,0.22105113773012738,0.028651073387369465,0.04123071421772758,0.4753514664559633,0.2857959272434054,0.6067343855753456,0.2327187175675179,0.2719741425266754,0.3429247322542148,0.0,0.0,0.0,0.0,0.0,0.0,0.2719741425266754,0.2719741425266754,0.0,0.0,0.0,1.0,0.1923921657858106,0.1923921657858106,0.0,0.0,0.0,1.0,0.11155367274108964,0.11155367274108964,0.0,0.0,0.0,1.0,0.16974744104418074,0.16974744104418074,0.0,0.0,0.0,1.0,0.028651073387369465,0.028651073387369465,0.0,0.0,0.0,1.0,0.6067343855753456,0.6067343855753456,0.0,0.0,0.0,1.0,0.20666666666666667,0.7933333333333333,Stable-Tail-EdgeTail-a030_seed5
CVaR-risk,150,9.94,2.60930189434625,0.004885959946367193,0.010049632230899653,0.019659074608546993,0.07251343843351692,0.012228536678930849,0.03773378661397745,0.017882107926222187,0.06992297990016923,0.002343403967642808,0.009986754789400261,0.17937556603172766,0.14317022597729212,0.335962004167288,0.1431723428965959,0.044883452086861626,0.08106524378122847,0.10292090317088978,0.11036691719976716,0.5321814599658832,0.42879404377938346,0.5958344489418151,0.4325447203504123,0.2970546237527924,0.044883452086861626,0.848905054832399,0.5321814599658832,0.6900771571441986,1.1414561832570849e-19,0.21654821575929722,0.019659074608546993,0.90921617829764,0.5958876902151441,0.9086104302542555,4.085689375776192e-20,0.11911868559274201,0.012228536678930849,0.8973415747581646,0.5833722569695536,0.7911749582053115,2.87775488684425e-20,0.1894104607687849,0.017882107926222187,0.9055907057374374,0.5958344489418151,0.9034424548998613,1.913533251541927e-20,0.030882581726493587,0.002343403967642808,0.9241189098333523,0.6751244807937697,0.9511643122399133,2.1326362539214257e-20,0.5904305802589285,0.335962004167288,0.4309881374701398,0.3054824797513185,0.4410512491011844,4.097054517912365e-17,1.0,0.0,Stable-Tail-EdgeTail-a030_seed6
Hop-shortest,150,9.093333333333334,2.5733446928612973,0.03379412237821966,0.04276067396665468,0.21654821575929722,0.2582059203750622,0.11911868559274201,0.16398096888666702,0.1894104607687849,0.23706903008214908,0.030882581726493587,0.04258082800251454,0.47485938298134595,0.28992234849608306,0.5904305802589285,0.25063646828054853,0.2970546237527924,0.36774257279549943,0.0,0.0,0.0,0.0,0.0,0.0,0.2970546237527924,0.2970546237527924,0.0,0.0,0.0,1.0,0.21654821575929722,0.21654821575929722,0.0,0.0,0.0,1.0,0.11911868559274201,0.11911868559274201,0.0,0.0,0.0,1.0,0.1894104607687849,0.1894104607687849,0.0,0.0,0.0,1.0,0.030882581726493587,0.030882581726493587,0.0,0.0,0.0,1.0,0.5904305802589285,0.5904305802589285,0.0,0.0,0.0,1.0,0.24,0.76,Stable-Tail-EdgeTail-a030_seed6
CVaR-risk,150,9.946666666666667,2.626112207120021,0.0052029978212451795,0.010932647471264302,0.021028377457211415,0.08509938088514739,0.013214327246687996,0.043373645007559775,0.01943951629580826,0.08317089864739005,0.002521530421925493,0.01092482254659974,0.19242203253858303,0.14172957396775632,0.38477135452981315,0.1403968925965267,0.04853449568061085,0.09193851280536139,0.10281481481480163,0.11203089505934084,0.5325120787765817,0.4253240208208219,0.588544862555537,0.43424199665894525,0.3426548664269164,0.04853449568061085,0.8583574890163688,0.5325120787765817,0.7042181427379627,9.035149055255557e-20,0.2428949189465493,0.021028377457211415,0.9134260298678694,0.5808885061945932,0.877541313176391,8.74480969333675e-20,0.13616619893869697,0.013214327246687996,0.9029544237073097,0.5692022594124628,0.7833932707942108,8.747663427812937e-20,0.20698438176341974,0.01943951629580826,0.9060822071158323,0.588544862555537,0.8821983461433639,1.9178562652842013e-20,0.03558295051157078,0.002521530421925493,0.9291365559459527,0.6736499307360835,0.9702071492568842,4.096357955947718e-20,0.6067534074978977,0.38477135452981315,0.3658521735924291,0.24051105120787095,0.2772872338587298,5.537914844909666e-16,1.0,0.0,Stable-Tail-EdgeTail-a030_seed7
Hop-shortest,150,9.093333333333334,2.5733446928612973,0.03869348249181708,0.04813681047572731,0.2428949189465493,0.2828449750539847,0.13616619893869697,0.1768466338125343,0.20698438176341974,0.255914496810301,0.03558295051157078,0.04786788754000735,0.47535111505006,0.2915373189363696,0.6067534074978977,0.23280377281504558,0.3426548664269164,0.40271310352214496,0.0,0.0,0.0,0.0,0.0,0.0,0.3426548664269164,0.3426548664269164,0.0,0.0,0.0,1.0,0.2428949189465493,0.2428949189465493,0.0,0.0,0.0,1.0,0.13616619893869697,0.13616619893869697,0.0,0.0,0.0,1.0,0.20698438176341974,0.20698438176341974,0.0,0.0,0.0,1.0,0.03558295051157078,0.03558295051157078,0.0,0.0,0.0,1.0,0.6067534074978977,0.6067534074978977,0.0,0.0,0.0,1.0,0.24,0.76,Stable-Tail-EdgeTail-a030_seed7
CVaR-risk,150,9.96,2.5955046321095274,0.004805377683589403,0.010786103781690303,0.019792036399400484,0.08115462901545431,0.012281143928218323,0.042612731761321805,0.01868501020090965,0.08061874136434229,0.0025389865255944274,0.010750162534392203,0.1892431474832687,0.14780505857997897,0.36288552946163105,0.14969922439845565,0.04461071201707758,0.08936483723023797,0.10572249047247669,0.11231704264552823,0.5365305869994724,0.42882742821953823,0.595910573451437,0.4361258668574339,0.2913376681809799,0.04461071201707758,0.84687626458858,0.5365305869994724,0.7582084408742162,7.08630389117952e-20,0.20737200924040128,0.019792036399400484,0.9045578211215545,0.5895222139197214,0.8983839370000077,4.084219928063443e-20,0.11609759982584768,0.012281143928218323,0.8942170729839818,0.5823976208862951,0.8070521405929127,1.9174401862754174e-20,0.1757258538943198,0.01868501020090965,0.8936695438507282,0.595910573451437,0.8983839370000077,6.134386539724195e-21,0.030444800174142247,0.0025389865255944274,0.9166036067903816,0.6644194814792683,0.9740845601294343,1.3127490406040583e-20,0.6029144733761215,0.36288552946163105,0.3981144167430742,0.27852879240869766,0.37446375880312466,1.0219708039047357e-16,1.0,0.0,Stable-Tail-EdgeTail-a030_seed8
Hop-shortest,150,9.093333333333334,2.5733446928612973,0.03301875196870164,0.04180695019631475,0.20737200924040128,0.24095599975980497,0.11609759982584768,0.1589994509852478,0.1757258538943198,0.21800139591077108,0.030444800174142247,0.04163155600916882,0.4763711701515439,0.28807258601491176,0.6029144733761215,0.23895822017600932,0.2913376681809799,0.3460479151623634,0.0,0.0,0.0,0.0,0.0,0.0,0.2913376681809799,0.2913376681809799,0.0,0.0,0.0,1.0,0.20737200924040128,0.20737200924040128,0.0,0.0,0.0,1.0,0.11609759982584768,0.11609759982584768,0.0,0.0,0.0,1.0,0.1757258538943198,0.1757258538943198,0.0,0.0,0.0,1.0,0.030444800174142247,0.030444800174142247,0.0,0.0,0.0,1.0,0.6029144733761215,0.6029144733761215,0.0,0.0,0.0,1.0,0.22,0.78,Stable-Tail-EdgeTail-a030_seed8
CVaR-risk,150,9.88,2.585244656291916,0.005249272886094381,0.011215920938933775,0.021551068912570675,0.08456985728480386,0.01323395672512965,0.04399898815856183,0.01941094354597024,0.08204795288365692,0.002671320107434136,0.01117858137648796,0.17890370032913228,0.14395138898048815,0.3266646480499028,0.15599242092215193,0.04844229434038023,0.09260816673606488,0.09694552669551389,0.11252965525923632,0.545009480559434,0.4240638369225379,0.5953127579360612,0.4413206338682938,0.3329490065162463,0.04844229434038023,0.8545053645058077,0.545009480559434,0.8137959341735563,1.0200215957572978e-19,0.23624239976673075,0.021551068912570675,0.9087756095656018,0.592503052274408,0.9257515893759386,5.983811845029786e-20,0.13414316134346238,0.01323395672512965,0.9013445292813208,0.5863426389436793,0.8579343168431841,5.985455512159043e-20,0.20601096024840243,0.01941094354597024,0.9057771318406029,0.5953127579360612,0.9253848184141962,4.095068960798344e-20,0.03497644165918189,0.002671320107434136,0.9236251607757104,0.6640737126169046,0.9657355197413258,4.207778992177551e-20,0.5882517628020396,0.3266646480499028,0.4446856453190473,0.3119499288864783,0.42868891434357426,1.1198674770820955e-16,1.0,0.0,Stable-Tail-EdgeTail-a030_seed9
Hop-shortest,150,9.093333333333334,2.5733446928612973,0.037872846722410446,0.04618987643595966,0.23624239976673075,0.2692622595220697,0.13414316134346238,0.17760723907196926,0.20601096024840243,0.25125242010109944,0.03497644165918189,0.046017865307045276,0.4797222621870081,0.30105141252490725,0.5882517628020396,0.2609807225973746,0.3329490065162463,0.39184591733894986,0.0,0.0,0.0,0.0,0.0,0.0,0.3329490065162463,0.3329490065162463,0.0,0.0,0.0,1.0,0.23624239976673075,0.23624239976673075,0.0,0.0,0.0,1.0,0.13414316134346238,0.13414316134346238,0.0,0.0,0.0,1.0,0.20601096024840243,0.20601096024840243,0.0,0.0,0.0,1.0,0.03497644165918189,0.03497644165918189,0.0,0.0,0.0,1.0,0.5882517628020396,0.5882517628020396,0.0,0.0,0.0,1.0,0.25333333333333335,0.7466666666666666,Stable-Tail-EdgeTail-a030_seed9
