model,seed,customer_set,avg_risk_at_b,common_aubrc,cvar90_aubrc,cvar95_aubrc,load_cvar90_aubrc,max_vehicle_cvar90_aubrc
Stable-Tail-EdgeTailRaw-a030,6,B,4.872046875187327,1.440330338233237,0.03544305042184725,0.06888674532136001,0.021203541673056568,0.06234668401338277
Stable-Tail-EdgeTailRaw-a030,7,A,3.280626027550639,0.9574864418187138,0.022280423531977924,0.03709651583317891,0.013434182347137747,0.041245378060390255
Stable-Tail-EdgeTailRaw-a030,7,B,4.564756546094685,1.3395495692059667,0.0323511936852417,0.06286379519438366,0.018585193852813105,0.05497887127967596
Stable-Tail-EdgeTailRaw-a030,8,A,3.515347056768914,1.0179823202134601,0.02507230414197456,0.04074251728372928,0.014945556777030628,0.04089724721569282
Stable-Tail-EdgeTailRaw-a030,8,B,4.4307225813909294,1.2921478491104792,0.03062241316161242,0.05716517370553073,0.018791006219374365,0.05047383436816143
Stable-Tail-EdgeTailRaw-a030,9,A,3.3033130397724753,0.9591832246414411,0.022940611880959114,0.03817648114024665,0.013815414608752272,0.042060050658091576
Stable-Tail-EdgeTailRaw-a030,9,B,4.393007623077546,1.2773757220149786,0.030197894560561333,0.06012453512483491,0.017975307578431018,0.05280615874846395
Stable-Tail-MatrixEnsRaw-r005,0,A,3.349154579895878,0.9818922641076637,0.023782287753467732,0.03940344990794992,0.013427085903281734,0.04141507868209294
Stable-Tail-MatrixEnsRaw-r005,0,B,4.4538196174767135,1.2958751716621897,0.030655606045025423,0.05816027798568414,0.018607085120189416,0.057917783542224884
Stable-Tail-MatrixEnsRaw-r005,1,A,3.5120585241868247,1.0151324164205635,0.02421049835546781,0.04003524970501209,0.015339600499815038,0.04456892768990513
Stable-Tail-MatrixEnsRaw-r005,1,B,4.50950486008871,1.318025529769503,0.031856771501961985,0.06187567423206737,0.018767255168999804,0.06002115229412472
Stable-Tail-MatrixEnsRaw-r005,2,A,3.489961518690815,1.0163688591544962,0.02488537152172158,0.04230266923075014,0.0159883628611513,0.04731064281146624
Stable-Tail-MatrixEnsRaw-r005,2,B,4.9817565291820864,1.477850496498171,0.03685847938230903,0.0728551636016428,0.02103170646200176,0.06491510601263262
Stable-Tail-MatrixEnsRaw-r005,3,A,3.4663869560320792,1.0238888942690731,0.02579713232225618,0.04081886131256467,0.015187588920114152,0.04814230419974688
Stable-Tail-MatrixEnsRaw-r005,3,B,4.960312930680248,1.4692431133739603,0.036835072234105926,0.07217518444447703,0.02072186098563124,0.0635799291343023
Stable-Tail-MatrixEnsRaw-r005,4,A,3.4504264428605764,1.0090925419652164,0.02450737857505728,0.03875893165278736,0.015607279566702386,0.04634273786135646
Stable-Tail-MatrixEnsRaw-r005,4,B,4.653240727377799,1.3678370661073775,0.03353675421456993,0.0643377185797084,0.019233624748378676,0.062169383583638126
Stable-Tail-MatrixEnsRaw-r005,5,A,3.4921000482881004,1.0092863915132995,0.024591892498841344,0.04333664846240709,0.014716537482953651,0.042305762107895384
Stable-Tail-MatrixEnsRaw-r005,5,B,4.585924842415302,1.3398218811246467,0.031943480136225874,0.06308164851569611,0.018125911669946506,0.05700595427685393
Stable-Tail-MatrixEnsRaw-r005,6,A,3.281123754529283,0.9604975469164289,0.02274955570515465,0.03821033951105202,0.014466791987775441,0.040819108374401517
Stable-Tail-MatrixEnsRaw-r005,6,B,4.8519948810436,1.4337198830748736,0.03616000108750158,0.06981320944022697,0.0206384303806669,0.06116818979788289
Stable-Tail-MatrixEnsRaw-r005,7,A,3.3285764125398885,0.9671239055281403,0.023027129570354264,0.037865981018338345,0.013980285089739206,0.0416688066822688
Stable-Tail-MatrixEnsRaw-r005,7,B,4.648675976275541,1.37197753666191,0.03311542565754886,0.06547707176375017,0.019034254562542888,0.06125847599899118
Stable-Tail-MatrixEnsRaw-r005,8,A,3.4133347373517777,0.9872313857803124,0.023987428377848636,0.04008252723367914,0.014969813589011215,0.04265968402099158
Stable-Tail-MatrixEnsRaw-r005,8,B,4.404304041351983,1.2797512317665451,0.031037513465631147,0.056232045514155705,0.018126990170044967,0.05358242711882918
Stable-Tail-MatrixEnsRaw-r005,9,A,3.3299343058782993,0.9603568429086026,0.023517861877956486,0.03877866987542737,0.01434184002185926,0.03892363041589027
Stable-Tail-MatrixEnsRaw-r005,9,B,4.501196505219138,1.3202105330901779,0.03173811014567494,0.06038309609090822,0.01879285270641657,0.05375845482295433
Stable-Tail-MatrixEnsRaw-r010,0,A,3.3487249478856786,0.9802318894170615,0.023478250426996933,0.040060222449710504,0.014408400227829276,0.043455322074315496
Stable-Tail-MatrixEnsRaw-r010,0,B,4.430337938892039,1.2933374112168248,0.030781726756678254,0.05771516684714574,0.017935717510501943,0.056635105002852515
Stable-Tail-MatrixEnsRaw-r010,1,A,3.4141104164193865,0.9781817674982871,0.02254352649660051,0.03840047786844748,0.014168792013612999,0.044408427146509374
Stable-Tail-MatrixEnsRaw-r010,1,B,4.542841058180841,1.326412407992742,0.03133311262985197,0.06283529136063516,0.018893116853885984,0.06001680112454024
