group,src,dst,method,path,hop,mean_risk,max_risk,cvar80,cvar90,cvar95,re,hhi,gini,total_risk,hop_increase_pct,risk_reduction_pct,cvar90_reduction_pct
normal_high,2063,1536,CVaR-risk,2063 5153 3934 3804 5126 1916 1915 3812 1645 1644 3813 1536,11,0.0036925348474390125,0.004727721214294434,0.004542039396862189,0.004542039396862189,0.004727721214294434,0.0,0.09911002741943037,0.14877848693535256,0.04061788332182914,0.22222222222219754,0.9518463723849226,0.9942855365330753
normal_high,2063,1536,CVaR+Concentration,2063 5153 3934 3804 5126 1916 1915 3812 1645 1644 3813 1536,11,0.0036925348474390125,0.004727721214294434,0.004542039396862189,0.004542039396862189,0.004727721214294434,0.0,0.09911002741943037,0.14877848693535256,0.04061788332182914,0.22222222222219754,0.9518463723849226,0.9942855365330753
normal_high,2343,617,Hop-shortest,2343 3477 5018 3777 4015 3663 4102 3675 617,8,0.006734025024343282,0.008566392585635185,0.008566392585635185,0.008566392585635185,0.008566392585635185,0.0018895724788308144,0.13447478068424573,0.14550444538829144,0.053872200194746256,0.0,0.0,0.0
normal_high,2343,617,Mean-risk-raw,2343 2342 3804 4505 4402 3917 3521 4102 3675 617,9,0.004456808428383536,0.005426740739494562,0.005426740739494562,0.005426740739494562,0.005426740739494562,9.716343548562791e-05,0.11427498706858522,0.09138133881871302,0.04011127585545182,0.12499999999998437,0.25543646424860506,0.3665080504294112
normal_high,2343,617,Mean-risk-floor,2343 2342 3804 4505 4402 3917 3521 4102 3675 617,9,0.004456808428383536,0.005426740739494562,0.005426740739494562,0.005426740739494562,0.005426740739494562,9.716343548562791e-05,0.11427498706858522,0.09138133881871302,0.04011127585545182,0.12499999999998437,0.25543646424860506,0.3665080504294112
normal_high,2343,617,CVaR-risk,2343 2342 3804 3934 3544 3590 3663 4102 3675 617,9,0.004532932847117384,0.005426740739494562,0.005426740739494562,0.005426740739494562,0.005426740739494562,9.716343548562791e-05,0.11390229718193469,0.08159228048508993,0.04079639562405646,0.12499999999998437,0.24271896308631297,0.3665080504294112
normal_high,2343,617,CVaR+Concentration,2343 2342 3804 3934 3544 3590 3663 4102 3675 617,9,0.004532932847117384,0.005426740739494562,0.005426740739494562,0.005426740739494562,0.005426740739494562,9.716343548562791e-05,0.11390229718193469,0.08159228048508993,0.04079639562405646,0.12499999999998437,0.24271896308631297,0.3665080504294112
normal_high,93,1638,Hop-shortest,93 94 3788 34 33 3497 106 3802 2995 2996 2084 4128 3477 5018 3777 1638,15,0.005618289858102798,0.008566392585635185,0.008550032507628202,0.008566392585635185,0.008566392585635185,0.001004694402217865,0.07383007083018168,0.1697705865010113,0.08427434787154198,0.0,0.0,0.0
normal_high,93,1638,Mean-risk-raw,93 94 3788 34 33 3497 106 3802 2995 2996 2084 4128 3477 5018 3777 1638,15,0.005618289858102798,0.008566392585635185,0.008550032507628202,0.008566392585635185,0.008566392585635185,0.001004694402217865,0.07383007083018168,0.1697705865010113,0.08427434787154198,0.0,0.0,0.0
normal_high,93,1638,Mean-risk-floor,93 94 3788 34 33 3497 106 3802 2995 2996 2084 4128 3477 5018 3777 1638,15,0.005618289858102798,0.008566392585635185,0.008550032507628202,0.008566392585635185,0.008566392585635185,0.001004694402217865,0.07383007083018168,0.1697705865010113,0.08427434787154198,0.0,0.0,0.0
