model,customer_set,model_seed_runs,cost_increase_mean,cost_increase_std,common_global_risk_mean_mean,common_global_risk_mean_std,common_global_cvar90_mean_mean,common_global_cvar90_mean_std,common_max_vehicle_risk_mean_mean,common_max_vehicle_risk_mean_std,common_edge_burden_gini_used_mean_mean,common_edge_burden_gini_used_mean_std,common_top10_burden_share_mean_mean,common_top10_burden_share_mean_std,load_global_risk_mean_mean,load_global_risk_mean_std,load_cvar90_mean_mean,load_cvar90_mean_std,load_max_vehicle_risk_mean_mean,load_max_vehicle_risk_mean_std,load_edge_burden_gini_used_mean_mean,load_edge_burden_gini_used_mean_std,load_top10_burden_share_mean_mean,load_top10_burden_share_mean_std
SGFormer-TEG-Concat,A,10,0.17433846642611642,0.023564324350845222,3.2222441809217366,0.20501269064163993,0.07731878228388163,0.008730153127908301,1.0358261483629048,0.10506192998774536,0.7505245699493985,0.009706225758184498,0.7501018224681619,0.013380107575938221,1.6264421823056392,0.12025350429634872,0.04519425955918754,0.004851868659456871,0.5744362091652916,0.09061622162053365,0.8010205594937846,0.013162092595883756,0.7652123645181803,0.016950956163513487
SGFormer-TEG-Concat,B,10,0.20327080204123696,0.030419539327736465,4.326052060037955,0.26320122021241765,0.10196348296074172,0.00716310818677469,1.4642307031548856,0.14381844483758352,0.7865184553334224,0.00885959331974099,0.7940353993740377,0.012423699045839494,2.1982233479068523,0.1958719314625179,0.0591919332854862,0.006999655905430245,0.7953351917482289,0.08024575755957752,0.8264072226091204,0.011960579534318064,0.8023565503843308,0.0193579885176369
SGFormer-adapted,A,10,0.16484998905136958,0.026950573553645166,3.6160278527325405,0.632943480054214,0.09065599738924157,0.022102771414178143,1.157800169862198,0.16895752209320528,0.7687639200217096,0.027849971228096848,0.7723675558669311,0.034094788726812174,1.7750478447840579,0.2594329002700976,0.05052999937120621,0.009578297239819166,0.6221980269841343,0.1030517204138009,0.8119071115046987,0.02014597448137464,0.780547088575248,0.029449408211696684
SGFormer-adapted,B,10,0.18438231561779345,0.04614325843666449,4.527465929706104,0.5182032548028999,0.1059194302325818,0.013057944823783238,1.529513964395263,0.16985795708954615,0.7930657945195058,0.01698480606405201,0.8024255825244622,0.022955427200170544,2.321653867693446,0.2799973299065239,0.06381313754000062,0.009649462430784442,0.8477556701785479,0.07716567916515057,0.8334273711457438,0.012077617538225999,0.8126254623816843,0.019901968762904756
Stable-Tail GNN,A,10,0.17677191785425578,0.011205369470495255,3.2725572316303797,0.08912562552414144,0.08140711339528363,0.004567942219422925,1.0630845103678976,0.06810401472698362,0.7537858590597001,0.0038320193852143616,0.7549475752504038,0.005580916373217748,1.656334213014636,0.09001689920945141,0.046600674554166624,0.0031817044271813806,0.5774655932711079,0.03588154504945796,0.804931989169645,0.006562347638692752,0.7702834505665624,0.010201528858328599
Stable-Tail GNN,B,10,0.2057065235061653,0.016059920026708596,4.2553891362089855,0.342712535198043,0.10009606244956874,0.010013985142980564,1.4298698916527224,0.12184132200078963,0.7852779643631342,0.011840665912891065,0.7918287434021715,0.015474223785901067,2.1475310327334975,0.20952906482098616,0.057314188747483764,0.007334991895373577,0.7519645630161124,0.08509603941578964,0.8257876105293533,0.011407502803989871,0.7995098148460812,0.01618665425908958
Stable-Tail w/o Tail Loss,A,10,0.18626949553759645,0.012945392768419176,3.35178288415578,0.1384687356600133,0.08474455418355839,0.004613249131333843,1.0683921018753504,0.06187008100935801,0.7567875131296111,0.006464429408686085,0.7588917780552549,0.009082771261484839,1.7094599512779127,0.1041418728552978,0.0484933913617647,0.0037338058157116625,0.5934459764773824,0.05196935209290197,0.8092930586262504,0.008597510957042804,0.776055311760565,0.01164879564625621
Stable-Tail w/o Tail Loss,B,10,0.210200267289763,0.019158172234333973,4.315757102326097,0.1483885494576724,0.1047793710896215,0.0035536144465580445,1.5049088964385884,0.07431868724045326,0.7888865542772244,0.00580184195626802,0.7963047751139776,0.006654609338771876,2.259055816611928,0.10607208313861502,0.06155304260859754,0.003839893762559974,0.8451664629655253,0.06904253498999051,0.8335311203673159,0.006017145060922864,0.8113196306534765,0.007842732774914261
TEG-only,A,10,0.1906347977096063,0.013688366335097762,3.247328463125541,0.14402875055339442,0.08133276614232766,0.006490925591466858,1.00538085488756,0.08124462094567718,0.7516196830324973,0.007747247805500467,0.7519190056581867,0.011136299961891315,1.6367974330429818,0.0697503598371983,0.045722168457223086,0.0026557928857575525,0.569679738207506,0.04119959482533517,0.8020381468987647,0.008238994212832954,0.7660805299594282,0.01338098921422491
TEG-only,B,10,0.21391056337604009,0.011286482429431342,4.343281985692009,0.22172296246966236,0.1034052227954941,0.007817864530725529,1.450826228215615,0.04794337007244053,0.7877985943756716,0.009260855004420868,0.7957214424702445,0.011284568246649064,2.2205631321748003,0.13318187856507419,0.06013019872589663,0.004766297487164458,0.7860570577860218,0.054914179733712265,0.8296059913351195,0.008374720261669593,0.8059048724405734,0.011757520498085025
