model,model_seed,customer_set,average_common_risk_at_b
GraphSAGE,2,B,5.080533487851031
GraphSAGE,3,A,3.7880430821850406
GraphSAGE,3,B,5.3502473612356685
GraphSAGE,4,A,3.7477148853553035
GraphSAGE,4,B,4.748517610110173
GraphSAGE,5,A,3.520621993993314
GraphSAGE,5,B,5.062973422838673
GraphSAGE,6,A,3.7624708397170408
GraphSAGE,6,B,5.548671263805578
GraphSAGE,7,A,3.465493009733771
GraphSAGE,7,B,5.2016221647020595
GraphSAGE,8,A,3.5555174964167415
GraphSAGE,8,B,4.510014807604824
GraphSAGE,9,A,3.5987246731172253
GraphSAGE,9,B,5.015342556865069
GraphSAGE-TEG-Concat,0,A,3.3888822631823907
GraphSAGE-TEG-Concat,0,B,4.709216884643702
GraphSAGE-TEG-Concat,1,A,3.568307650466862
GraphSAGE-TEG-Concat,1,B,5.155118795531064
GraphSAGE-TEG-Concat,2,A,3.7751747541354654
GraphSAGE-TEG-Concat,2,B,5.263891996141076
GraphSAGE-TEG-Concat,3,A,3.38724288354913
GraphSAGE-TEG-Concat,3,B,4.685747706200493
GraphSAGE-TEG-Concat,4,A,3.652906641925324
GraphSAGE-TEG-Concat,4,B,5.031381130151274
GraphSAGE-TEG-Concat,5,A,3.4323401101735946
GraphSAGE-TEG-Concat,5,B,4.776282920386578
GraphSAGE-TEG-Concat,6,A,3.6026724867024815
GraphSAGE-TEG-Concat,6,B,5.402716906240591
GraphSAGE-TEG-Concat,7,A,3.680050248347815
GraphSAGE-TEG-Concat,7,B,4.95856665998528
GraphSAGE-TEG-Concat,8,A,3.602845757275429
GraphSAGE-TEG-Concat,8,B,4.827762896255675
GraphSAGE-TEG-Concat,9,A,3.498854360555545
GraphSAGE-TEG-Concat,9,B,4.630241699996399
SGFormer-TEG-Concat,0,A,3.4984756730719653
SGFormer-TEG-Concat,0,B,5.1304091967883405
SGFormer-TEG-Concat,1,A,3.4638607495344655
SGFormer-TEG-Concat,1,B,5.038476683981355
SGFormer-TEG-Concat,2,A,3.62791583080975
SGFormer-TEG-Concat,2,B,5.152838554678188
SGFormer-TEG-Concat,3,A,3.5631515328057337
SGFormer-TEG-Concat,3,B,5.015010734110753
SGFormer-TEG-Concat,4,A,3.6998839840558837
SGFormer-TEG-Concat,4,B,5.0060586803501845
SGFormer-TEG-Concat,5,A,3.5222238329588924
SGFormer-TEG-Concat,5,B,4.377310949457028
SGFormer-TEG-Concat,6,A,3.588076756169122
SGFormer-TEG-Concat,6,B,5.232415660803771
SGFormer-TEG-Concat,7,A,3.5206219142949258
SGFormer-TEG-Concat,7,B,4.506969737811145
SGFormer-TEG-Concat,8,A,3.5308609910849245
SGFormer-TEG-Concat,8,B,4.454792094391354
SGFormer-TEG-Concat,9,A,3.6478843283558104
SGFormer-TEG-Concat,9,B,4.467388317329983
SGFormer-adapted,0,A,3.3231319954774388
SGFormer-adapted,0,B,4.940827254543242
SGFormer-adapted,1,A,3.4795781277596207
SGFormer-adapted,1,B,4.418422008138347
SGFormer-adapted,2,A,3.8387664921432196
SGFormer-adapted,2,B,5.390816384723229
SGFormer-adapted,3,A,4.016161452498394
SGFormer-adapted,3,B,5.392712266589693
SGFormer-adapted,4,A,3.8376305401458706
SGFormer-adapted,4,B,4.851120146544372
SGFormer-adapted,5,A,3.1709188439003815
SGFormer-adapted,5,B,4.809207075376015
SGFormer-adapted,6,A,3.5858627572252395
SGFormer-adapted,6,B,5.4221130664855215
SGFormer-adapted,7,A,3.519271784606904
SGFormer-adapted,7,B,4.768184607320281
SGFormer-adapted,8,A,3.6245083233406725
SGFormer-adapted,8,B,4.793689974982082
SGFormer-adapted,9,A,3.8387159916888756
SGFormer-adapted,9,B,4.389188547240982
Stable-Tail GNN,0,A,3.4687785199930334
Stable-Tail GNN,0,B,4.692014472008595
Stable-Tail GNN,1,A,3.672898160995423
Stable-Tail GNN,1,B,4.595985371581796
Stable-Tail GNN,2,A,3.668486936385032
Stable-Tail GNN,2,B,5.133102788885033
Stable-Tail GNN,3,A,3.6796328678018866
Stable-Tail GNN,3,B,5.1684138289641135
Stable-Tail GNN,4,A,3.622740304829925
Stable-Tail GNN,4,B,4.769326867958246
Stable-Tail GNN,5,A,3.6625057920105695
Stable-Tail GNN,5,B,4.6540882075127
Stable-Tail GNN,6,A,3.477130870574771
Stable-Tail GNN,6,B,5.002388576728868
Stable-Tail GNN,7,A,3.5703669592663565
Stable-Tail GNN,7,B,4.659609863251921
Stable-Tail GNN,8,A,3.421890168569736
Stable-Tail GNN,8,B,4.697175437616414
Stable-Tail GNN,9,A,3.4414219669066455
Stable-Tail GNN,9,B,4.5287311381508255
Stable-Tail w/o Tail Loss,0,A,3.4814838084386843
Stable-Tail w/o Tail Loss,0,B,4.784223983230595
Stable-Tail w/o Tail Loss,1,A,3.809390932135976
Stable-Tail w/o Tail Loss,1,B,4.6265629473507275
Stable-Tail w/o Tail Loss,2,A,3.692512445759737
Stable-Tail w/o Tail Loss,2,B,5.1326736218643685
Stable-Tail w/o Tail Loss,3,A,3.7997292788018093
Stable-Tail w/o Tail Loss,3,B,4.790510375949401
Stable-Tail w/o Tail Loss,4,A,3.8684883526168674
Stable-Tail w/o Tail Loss,4,B,5.009479247073223
Stable-Tail w/o Tail Loss,5,A,3.7269446479115182
Stable-Tail w/o Tail Loss,5,B,4.906483861715585
Stable-Tail w/o Tail Loss,6,A,3.665901813255528
Stable-Tail w/o Tail Loss,6,B,5.550013427834964
Stable-Tail w/o Tail Loss,7,A,3.5490493630140345
Stable-Tail w/o Tail Loss,7,B,4.992191291877869
Stable-Tail w/o Tail Loss,8,A,3.5506660152315344
Stable-Tail w/o Tail Loss,8,B,4.909428304474026
Stable-Tail w/o Tail Loss,9,A,3.756568702332319
Stable-Tail w/o Tail Loss,9,B,5.086994775960127
TEG-only,0,A,3.532911629152687
TEG-only,0,B,4.949518229674408
TEG-only,1,A,3.561279705551513
TEG-only,1,B,4.568759234729231
TEG-only,2,A,3.5978319988927905
TEG-only,2,B,5.160517610162254
TEG-only,3,A,3.7739274916180188
TEG-only,3,B,5.266216722513429
TEG-only,4,A,3.903368087772711
TEG-only,4,B,5.139938162706338
TEG-only,5,A,3.680501345994485
TEG-only,5,B,4.897801800002388
TEG-only,6,A,3.518999323908432
TEG-only,6,B,4.913594894151599
TEG-only,7,A,3.871217162637966
TEG-only,7,B,4.787920473846772
TEG-only,8,A,3.643561996968961
TEG-only,8,B,5.043723814791767
TEG-only,9,A,3.6204432576475196
TEG-only,9,B,4.749711013995033
