edge_id,src,dst,risk_matrix_Rij,OD_graph_Rij,PyVRP_graph_Rij,common_eval_Rij,matrix_OD_abs_diff,matrix_PyVRP_abs_diff,sample_risk_dir,common_risk_dir
10,5,6,0.0015033920062705874,0.0015033920062705874,0.0015033920062705874,0.0029445647802464558,0.0,0.0,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed0_epochs50_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\common_ensemble4_10seed_floor_0p01
11,7,3780,0.004785208031535149,0.004785208031535149,0.004785208031535149,0.0032234694210123436,0.0,0.0,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed0_epochs50_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\common_ensemble4_10seed_floor_0p01
12,7,3494,0.0019456208683550358,0.0019456208683550358,0.0019456208683550358,0.0032234694210123436,0.0,0.0,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed0_epochs50_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\common_ensemble4_10seed_floor_0p01
13,8,3497,0.00023421048535965383,0.00023421048535965383,0.00023421048535965383,0.0013813280597193825,0.0,0.0,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed0_epochs50_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\common_ensemble4_10seed_floor_0p01
14,8,9,2.3143291400629096e-05,2.3143291400629096e-05,2.3143291400629096e-05,0.002058302713378802,0.0,0.0,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed0_epochs50_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\common_ensemble4_10seed_floor_0p01
15,9,10,0.0004262384318280965,0.0004262384318280965,0.0004262384318280965,0.002723604974601947,0.0,0.0,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed0_epochs50_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\common_ensemble4_10seed_floor_0p01
16,10,3497,0.0004262384318280965,0.0004262384318280965,0.0004262384318280965,0.002723604974601947,0.0,0.0,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed0_epochs50_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\common_ensemble4_10seed_floor_0p01
17,11,3782,0.002298930659890175,0.002298930659890175,0.002298930659890175,0.0015628801065193335,0.0,0.0,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed0_epochs50_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\common_ensemble4_10seed_floor_0p01
18,11,12,0.002298930659890175,0.002298930659890175,0.002298930659890175,0.0018448315315875124,0.0,0.0,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed0_epochs50_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\common_ensemble4_10seed_floor_0p01
19,12,13,1.155802146968199e-05,1.155802146968199e-05,1.155802146968199e-05,0.0018448315315875124,0.0,0.0,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed0_epochs50_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\common_ensemble4_10seed_floor_0p01
