set,budget,method,model_seed,solver_seed,cost_inc,common_risk,cvar90,load_risk,top10share,j_score,risk_source
B,25,J-reranking,0,6,19.704744451231928,3.615923167605067,0.08778862955316669,1.9724671329263845,0.7573611758338255,1.2523366598985433,B_Stable-Tail-GNN_seed0
B,25,J-reranking,0,7,20.332187857961053,3.542181553824854,0.08841989497205603,1.5702451956821477,0.7632477490306365,1.2118314496434002,B_Stable-Tail-GNN_seed0
B,25,J-reranking,0,8,19.834385393334692,3.2894254223395505,0.07672979656850042,1.5018171361516317,0.7359947946697004,0.8469104333485329,B_Stable-Tail-GNN_seed0
B,25,J-reranking,0,9,20.972746388673897,3.274911494662822,0.07422759071547032,1.8810764935219875,0.7362720617050299,0.9490171102772923,B_Stable-Tail-GNN_seed0
B,25,J-reranking,1,0,20.97617106966486,3.8596980824921983,0.08801854633334945,1.5716049835221553,0.771381875350182,1.2425369752888409,B_GCN_seed1
B,25,J-reranking,1,1,23.260433290638975,4.004026297910864,0.09124657604048059,1.9399019773341788,0.7737016517240822,1.4098658663024877,B_Stable-Tail-GNN_seed1
B,25,J-reranking,1,2,22.717231222385863,4.011837028928926,0.09413911028697826,1.7092691480081768,0.778084681035451,1.6542195152353456,B_Stable-Tail-GNN_seed1
B,25,J-reranking,1,3,18.163966617574864,3.7785182346578092,0.08706004496772408,1.749691550024991,0.762062031082921,1.076521289433825,B_Stable-Tail-GNN_seed1
B,25,J-reranking,1,4,19.883255277268717,3.8596980824921983,0.08801854633334943,1.6936779398811663,0.771381875350182,1.2314767388540815,B_GCN_seed1
B,25,J-reranking,1,5,17.689540487341343,4.229832275037625,0.09823373896482133,1.7030114137682821,0.7871673500894909,1.4091869238990802,B_Stable-Tail-GNN_seed1
B,25,J-reranking,1,6,22.08715129301568,3.7657847229778936,0.08706004496772408,1.7420477587105334,0.7629594904596846,1.2407411641477655,B_Stable-Tail-GNN_seed1
B,25,J-reranking,1,7,22.812005672830416,3.8596980824921983,0.08801854633334945,2.1473753133268234,0.7713818753501821,1.5235759131138298,B_Stable-Tail-GNN_seed1
B,25,J-reranking,1,8,20.788705626824136,3.4219976819845397,0.07863717226994155,1.7295818849820026,0.7446658569342347,1.0229688840947495,B_GCN_seed1
B,25,J-reranking,1,9,18.828211152131182,3.7743383911661343,0.08706004496772408,2.024898076585957,0.7629059670766647,1.1693116688690066,B_Stable-Tail-GNN_seed1
B,25,J-reranking,2,0,24.119343283173173,3.688496002818793,0.08525816871733546,2.253349995636455,0.7668377195096906,1.4692343001949955,B_GCN_seed2
B,25,J-reranking,2,1,22.16522030972815,4.146317769243104,0.09626077626190865,1.7372392747012289,0.791739739310024,1.3362439774440498,B_Stable-Tail-GNN_seed2
B,25,J-reranking,2,2,21.954944635357005,3.7059759816136157,0.08300074322109102,1.843495061364775,0.7586838182241384,1.3453651495818895,B_Stable-Tail-GNN_seed2
B,25,J-reranking,2,3,23.487017945780835,3.6213128389479636,0.08600119648628911,2.0180298087672357,0.7687669376048051,1.2499094838775797,B_GCN_seed2
B,25,J-reranking,2,4,21.061562478789114,4.14572478404131,0.09626077626190865,2.1547009826592554,0.7918529860819492,1.7911891685863994,B_Stable-Tail-GNN_seed2
B,25,J-reranking,2,5,21.247539537093598,4.037703831415923,0.09087890550944759,1.7703855995831674,0.7854571970037135,1.377329180760525,B_Stable-Tail-GNN_seed2
B,25,J-reranking,2,6,20.601371071743703,3.9440213550820795,0.09079362620991854,2.4100274627624354,0.7824505992675495,1.4492526079143404,B_Stable-Tail-GNN_seed2
B,25,J-reranking,2,7,22.824960453826435,3.818360483625776,0.09465903380658781,1.7374240373181147,0.775407187857979,1.338294003850589,B_TEG-low_seed2
B,25,J-reranking,2,8,22.21679223511844,3.9420151787404625,0.09079362620991854,1.9000212033201267,0.782848805212874,1.3612692460082232,B_GCN_seed2
B,25,J-reranking,2,9,22.030972814882293,4.295554525815475,0.10403278000807331,2.2062523137117314,0.8010925853131257,1.6855247044660593,B_Stable-Tail-GNN_seed2
B,25,J-reranking,3,0,24.833046801690422,3.8836763809445554,0.09081665305997494,1.8513122670521627,0.7754207355550138,1.5413701569955878,B_Stable-Tail-GNN_seed3
B,25,J-reranking,3,1,24.24126192645155,4.015302209339147,0.0950915030241379,2.097126177604755,0.7804389588662553,1.574075250676458,B_Stable-Tail-GNN_seed3
B,25,J-reranking,3,2,24.264986636120657,3.651471598366051,0.07924720810989666,2.0743007804177975,0.7637092263695162,1.5067847180443799,B_Stable-Tail-GNN_seed3
B,25,J-reranking,3,3,23.897479954180987,3.817684297441601,0.09150401522471603,2.112185109866898,0.7658588126691797,1.3845406773301467,B_Stable-Tail-GNN_seed3
B,25,J-reranking,3,4,18.41308626892011,4.076179544371586,0.09213568886148132,1.9047508985463393,0.7878537112839108,1.6156555748486694,B_Stable-Tail-GNN_seed3
B,25,J-reranking,3,5,18.369646372089864,3.8324714317031017,0.08662100136212503,1.617847610896556,0.7657598594201522,1.159771627533577,B_Stable-Tail-GNN_seed3
B,25,J-reranking,3,6,23.33808457204914,3.819690473783218,0.09150401522471605,1.7235161570619206,0.7654565686021431,1.2938389953718545,B_Stable-Tail-GNN_seed3
B,25,J-reranking,3,7,21.24515900289096,3.2751440613632443,0.07422759071547033,1.4650037839414425,0.7362197793135395,0.9332386924704165,B_TEG-low_seed3
B,25,J-reranking,3,8,23.578361501391434,3.7459905882584033,0.08423666012524655,1.9817033932969181,0.7633998249460903,1.4095406342456054,B_Stable-Tail-GNN_seed3
B,25,J-reranking,3,9,21.59603832902965,3.877258073164968,0.09588943516874884,2.0213807321825668,0.7742567545574132,1.477895349135977,B_TEG-low_seed3
B,25,J-reranking,4,0,24.14468592250632,3.7807125596142006,0.08756982141138993,1.8762285719475904,0.7698849787534218,1.5106150362779327,B_GCN_seed4
B,25,J-reranking,4,1,21.19877533407763,4.037831848805158,0.09915079153683168,1.7405458338305395,0.7906373313984922,1.3569238977037537,B_Stable-Tail-GNN_seed4
B,25,J-reranking,4,2,23.474744995363555,4.119110747174561,0.09275740300744854,1.959054529035543,0.7838047789684724,1.7775584385666348,B_TEG-low_seed4
B,25,J-reranking,4,3,20.43855342824415,4.0859028241685325,0.09456590570668094,1.945585507999116,0.7831589495775059,1.3536224149437877,B_Stable-Tail-GNN_seed4
B,25,J-reranking,4,4,20.04479739360619,3.858284891352374,0.08801854633334945,1.550213851635727,0.7716644128149786,1.3063258176454036,B_Stable-Tail-GNN_seed4
B,25,J-reranking,4,5,19.959275096721647,3.3878159428086017,0.08306818049022405,1.7070850246281195,0.743730306379888,0.9395838941667704,B_Stable-Tail-GNN_seed4
