model,seed,mean,p50,p75,p90,p95,p99,max,std,tail_gap
Stable-Tail GNN,6,0.016727057608524974,0.0016856465954333544,0.004008122719824314,0.00759237352758646,0.058614175021648215,0.41443654894828796,0.8452827334403992,0.07646071242201152,0.35582237392663973
Stable-Tail GNN,7,0.016998730889425676,0.0015962041215971112,0.0044148946180939674,0.008424097672104836,0.06075082160532437,0.4349198043346405,0.8631828427314758,0.07717089903474748,0.37416898272931615
Stable-Tail GNN,8,0.014695403953884663,0.001423788140527904,0.0030598645098507404,0.0083260303363204,0.06107551530003545,0.42046451568603516,0.8695680499076843,0.06869510180394471,0.3593890003859997
Stable-Tail GNN,9,0.0157736464981429,0.0017256784485653043,0.0035024257376790047,0.008351588621735573,0.060061161220073656,0.42175522446632385,0.8755898475646973,0.07267322337879438,0.3616940632462502
Fusion-rho0.25,0,0.01740200244750241,0.002416653266442972,0.0035557962182545,0.008009587020921069,0.09961217669510604,0.37716299268599596,0.8538958653707641,0.07119110169259728,0.27755081599088993
Fusion-rho0.25,1,0.017013513965826055,0.0023333020884816723,0.003690422081522787,0.008376693851857495,0.0951936090266705,0.3936005391963562,0.8548467239880833,0.07047043030322296,0.29840693016968567
Fusion-rho0.25,2,0.01927285807954211,0.0025967422172623153,0.004016284858177833,0.008512880855754032,0.10850343802614243,0.4231527435804233,0.8831552222604783,0.07917173991808883,0.3146493055542809
Fusion-rho0.25,3,0.01718532887380228,0.0023916990799822107,0.0036007621789646387,0.008423063857678822,0.10089909771685632,0.38467702314681324,0.8569298610720119,0.07042829500896347,0.28377792542995695
Fusion-rho0.25,4,0.018482170879182996,0.002498464256426319,0.0036969373267296325,0.008367566689224042,0.1064823989809254,0.43052878352442475,0.8611548611465635,0.07616663319334284,0.3240463845434993
Fusion-rho0.25,5,0.016495912970368364,0.0023321883304832708,0.003478456142973069,0.008075255522138376,0.0939949683738139,0.3583619580754738,0.8590608701789542,0.06729222338870527,0.2643669897016599
Fusion-rho0.25,6,0.01805727960640989,0.0023532640421299574,0.003739114559138401,0.008150823156772088,0.09578642017861741,0.40829361769401906,0.8541536448793939,0.07469914920091968,0.3125071975154017
Fusion-rho0.25,7,0.020481743396702532,0.002952334067120066,0.004184180648351817,0.008428364326775366,0.1360497517262963,0.4297453268035796,0.8579185745675563,0.07805683095772553,0.2936955750772833
Fusion-rho0.25,8,0.0173377070879886,0.0023071706667403187,0.003567670102182165,0.008411513236649421,0.09236163922612602,0.41965829705464097,0.8600048630425766,0.07343789204359147,0.32729665782851497
Fusion-rho0.25,9,0.018159132853674483,0.002460211115182048,0.003694070954061521,0.008512710776833965,0.10414366532864047,0.42340580245673043,0.8566458608710987,0.07477133718994179,0.31926213712808993
Fusion-rho0.5,0,0.017772669792655717,0.0027957906108758237,0.0038719996237201416,0.008036444583495376,0.10154866702562743,0.3923587756000586,0.8549869794881271,0.07208266408750401,0.2908101085744312
Fusion-rho0.5,1,0.017030465424074784,0.0026681087540938544,0.00377167464052442,0.008408080762459644,0.09505862859058983,0.39158034741522285,0.855213088372416,0.0696094345914014,0.296521718824633
Fusion-rho0.5,2,0.019374936179182692,0.0029345980086325223,0.00407623948598437,0.008531640380832093,0.11287764238460243,0.4270283679671576,0.8705468131111985,0.07871478878106028,0.3141507255825552
Fusion-rho0.5,3,0.017175314212155582,0.002752559156765104,0.003739736528764379,0.008407358465575047,0.10019016810832193,0.37233729769028756,0.8568481779219093,0.0696051792754142,0.27214712958196563
Fusion-rho0.5,4,0.01855894878864563,0.0028476217550890168,0.0038804905526443217,0.008336193431780487,0.10153140798480992,0.4110209735470916,0.8593459980775658,0.07561729836251653,0.3094895655622817
Fusion-rho0.5,5,0.016631866543947032,0.0027483161895779187,0.0036645256214854548,0.008162886721241842,0.0977817036659891,0.3484206951731833,0.8571493134401401,0.06609776784351397,0.2506389915071942
Fusion-rho0.5,6,0.017952293962604178,0.0027369188309710507,0.00395690867613992,0.008199220875585733,0.09335833224979087,0.4052331523143459,0.8540415084208308,0.07387796487261647,0.311874820064555
Fusion-rho0.5,7,0.019748652977123717,0.003229613982330587,0.004296316268749914,0.008435249386783018,0.12464667746202328,0.42598009953169924,0.8576502430084416,0.07531177490632647,0.30133342206967595
Fusion-rho0.5,8,0.0174759270794061,0.0026784832714702336,0.003833724654936131,0.008568016221443231,0.0916517275719104,0.4132973716282918,0.8630693027104135,0.07318015127266442,0.3216456440563814
Fusion-rho0.5,9,0.017851727821097115,0.0028047092929228113,0.0037943083407165996,0.008471767561812204,0.1015364027507844,0.41767289458490275,0.8563752128737614,0.07314878366922761,0.31613649183411835
Fusion-rho0.75,0,0.01826995106410327,0.0032651963129870683,0.004251010206172811,0.008288300706814623,0.09880567893026397,0.41212900247398676,0.8560780936054901,0.0734165949341814,0.3133233235437228
Fusion-rho0.75,1,0.01714650226855466,0.003101065746788299,0.00408783088714209,0.008439467673061791,0.09484238392660232,0.3895871907990312,0.855579452756749,0.06908239153535112,0.2947448068724289
Fusion-rho0.75,2,0.019569239669129733,0.003348496783784528,0.004357467483721866,0.008550399905910154,0.11316556852022847,0.4301665266640921,0.8621277581138191,0.07854935160979855,0.31700095814386364
Fusion-rho0.75,3,0.01724402906697514,0.0031833652453755997,0.004071936377978042,0.008391653073471271,0.0965965977560276,0.370718937702915,0.8567664947718067,0.06909105472424121,0.2741223399468874
Fusion-rho0.75,4,0.018726496155165463,0.0033108707695366146,0.004139142571191641,0.008304820174336931,0.10210624623861041,0.41549639102723085,0.8575371350085681,0.07538788804044783,0.31339014478862043
Fusion-rho0.75,5,0.01689477240612673,0.003283140357109107,0.003986354497566344,0.008250517920345308,0.09584248593962949,0.33714880072257125,0.8552377567013261,0.06534909449323037,0.24130631478294176
Fusion-rho0.75,6,0.017936084068262022,0.0031640191114700234,0.004347821263804767,0.008247618594399377,0.0904340316199724,0.41221010429773874,0.8539293719622676,0.07340603930312527,0.3217760726777663
Fusion-rho0.75,7,0.01916928258094331,0.0035921930330820857,0.0046494320871701455,0.00844213444679067,0.11009871214212606,0.4254333472222085,0.8573819114493271,0.07324101906115847,0.3153346350800824
Fusion-rho0.75,8,0.017698168546660644,0.0032110702289554678,0.0041618964783915685,0.008568503342418857,0.08795213522679049,0.40574739359756584,0.8951321678168249,0.0732254642919537,0.3177952583707754
Fusion-rho0.75,9,0.017622605550490455,0.0032411999788239587,0.004194372043591721,0.008430824346790444,0.0893034802057721,0.41984497557846523,0.8561045648764241,0.07197898506017628,0.3305414953726931
Ensemble-4,0,0.017620449845275644,0.002814300753402053,0.0037714242531253707,0.008205757999389137,0.10312608498519299,0.39202322961952024,0.8550543500766539,0.07067024140711918,0.28889714463432725
Ensemble-4,1,0.017391800153820174,0.002667420176772321,0.003829349366770963,0.008177855817573128,0.09915452235646557,0.39562638099312775,0.8546266306473567,0.07071032637599545,0.29647185863666214
Ensemble-4,2,0.019055653244503482,0.0028790212497546764,0.003949993839673834,0.008491238585753394,0.11267906627439936,0.4222781052570153,0.876614231488259,0.0775256969291954,0.309599038982616
Ensemble-4,3,0.017275887636103906,0.0027551397428900583,0.003742669979274197,0.008436329919111198,0.09521533330254382,0.3812770508179879,0.8565550197178079,0.0701790357674738,0.28606171751544407
Ensemble-4,4,0.018717892463998607,0.0028958443237599176,0.003868230558683996,0.008405338510385104,0.10445172306291112,0.4174860844949827,0.8602086669302863,0.07602910639360982,0.3130343614320716
Ensemble-4,5,0.0168624809682472,0.0028395269298327123,0.00373162573244514,0.007807968039085346,0.10128957113927277,0.3582992692313641,0.8529997924229306,0.06642001022364168,0.25700969809209134
Ensemble-4,6,0.01818464031150593,0.002859134337088548,0.004018931474645688,0.008226266081445246,0.0999199560854918,0.3979451092036407,0.8538291341783908,0.07345115313240226,0.29802515311814887
Ensemble-4,7,0.018867959716267722,0.0029770336346512313,0.0042301821927312995,0.00846721124837359,0.1087384487723738,0.42759417356285995,0.8573586053375871,0.07383018647178279,0.31885572479048613
Ensemble-4,8,0.017376427304791754,0.002709606117207845,0.0038441215362981984,0.008417872478792629,0.09146075820099292,0.41272064981566187,0.859374519158402,0.07236438636939158,0.32125989161466895
Ensemble-4,9,0.01767692116869065,0.0028408953717416908,0.0037969968936412074,0.008502662836659252,0.09464815368779778,0.40822355263982835,0.8546961896119547,0.07240157709191936,0.31357539895203057
