model,customer_set,method,alpha,rho,avg_risk_at_b_mean,avg_risk_at_b_std,common_aubrc_mean,common_aubrc_std,cvar90_aubrc_mean,cvar90_aubrc_std,cvar95_aubrc_mean,cvar95_aubrc_std,load_cvar90_aubrc_mean,load_cvar90_aubrc_std,max_vehicle_cvar90_aubrc_mean,max_vehicle_cvar90_aubrc_std,core_score
Stable-Tail-MatrixEns-r010,B,risk_matrix_ensemble,0.1,0.1,4.6204874799342575,0.20971273831835854,1.355592862628626,0.06989891906876167,0.03310424636213429,0.0023796362945753802,0.0631809726692398,0.005653730215108125,0.01877478128867921,0.0008967727087405236,0.057728225656882945,0.004788607016739386,3.75
Stable-Tail-MatrixEns-r020,A,risk_matrix_ensemble,0.1,0.2,3.4178091858097046,0.08650223253472648,0.9941999295574848,0.023323340024752552,0.024083497047956138,0.0011031367894952084,0.039835386979819164,0.0013710258426064613,0.014652903664926721,0.0006033652317077928,0.04384303506108963,0.002677522744847533,11.25
Stable-Tail-MatrixEns-r020,B,risk_matrix_ensemble,0.1,0.2,4.6298694467668575,0.2072449828360234,1.3594563865803515,0.0706402323821074,0.0332098850790331,0.002484840776800622,0.06393700809727434,0.005782970114721393,0.019258799633302823,0.0011006727068504328,0.05875869896160664,0.005463629112896999,7.25
Stable-Tail-MatrixEns-r030,A,risk_matrix_ensemble,0.1,0.3,3.4060615958156544,0.06761876598873638,0.98801608243935,0.021564819468284938,0.023897929150356496,0.0007962414625390807,0.039162844503249056,0.0010846985010847898,0.014565150736485089,0.0007193258653746338,0.04248266417872673,0.002861348942066149,2.5
Stable-Tail-MatrixEns-r030,B,risk_matrix_ensemble,0.1,0.3,4.677081426325819,0.24723329676884864,1.3747490791910366,0.08449098533108261,0.033404722124359965,0.002594522647453767,0.06469712662901934,0.006523991302798033,0.01921604692910308,0.0014342525032518712,0.05994413046282547,0.005725945311693935,16.25
Stable-Tail-MatrixEns-r040,A,risk_matrix_ensemble,0.1,0.4,3.433682688446231,0.06943006516279585,0.9959448205636126,0.02103614423934769,0.024022199775022686,0.0008917338245988737,0.0397076221802092,0.001301154566715994,0.01467110131746161,0.0004892009564268699,0.04241838138033306,0.0020887754244534257,12.5
Stable-Tail-MatrixEns-r040,B,risk_matrix_ensemble,0.1,0.4,4.629118670159286,0.23654472086375825,1.3583937726417141,0.08111196812652527,0.03293655403165411,0.002777235331671429,0.06348275200933118,0.006232581527674476,0.019103077117329295,0.0014539643030679714,0.0590754979157843,0.0065761660889694365,4.5
Stable-Tail-NodeCalib-a005,A,node_calibration,0.05,0.2,3.391085998790131,0.11661137084766472,0.9893109673631026,0.03751789935538149,0.023782897239881067,0.0008664605439977044,0.03936981707348123,0.0019697460122764035,0.014584033539243629,0.0009007172590227652,0.043372170400088735,0.0025815507391918685,1.75
Stable-Tail-NodeCalib-a005,B,node_calibration,0.05,0.2,4.671399344354711,0.15820786530738778,1.3719960936985676,0.053221930482101804,0.03351032500103517,0.001996424776919694,0.06476783728627758,0.004346932630892939,0.01951882990818947,0.0011835680833972885,0.05881345023084342,0.0035420843426698747,16.5
Stable-Tail-NodeCalib-a010,A,node_calibration,0.1,0.2,3.4118360612542746,0.09981570938553977,0.9900174938079928,0.02870629298479745,0.02390314918520976,0.0009656243259597661,0.03937214187955356,0.0017012283364847979,0.014926934961214458,0.0008799121627888669,0.04349589036365976,0.002970298838304873,4.5
Stable-Tail-NodeCalib-a010,B,node_calibration,0.1,0.2,4.617682658963071,0.19210868036898474,1.3550572275958346,0.06371326063482328,0.03314989630787257,0.0023849908712640262,0.06430001314827402,0.0049304756133167595,0.019204062669050382,0.0012424267429426393,0.057780421107990976,0.0047173879290527704,6.5
Stable-Tail-NodeCalib-a020,A,node_calibration,0.2,0.2,3.4163808528836324,0.08791238576087167,0.9921811036748707,0.025518470246981905,0.024112695391342774,0.0008137148587164316,0.04012060182971433,0.0019551564817933934,0.01460635255045448,0.0007206574059249557,0.042831154392754416,0.0020745006978314475,11.0
Stable-Tail-NodeCalib-a020,B,node_calibration,0.2,0.2,4.650203260940236,0.22275157194692746,1.365082194620202,0.07394850237518479,0.033223241785458914,0.0025480605313797995,0.06425465926424674,0.0052554096007329885,0.018960252667624067,0.0011881609075953899,0.059553648943214875,0.00555959169734472,11.5
Stable-Tail-NodeCalib-a030,A,node_calibration,0.3,0.2,3.4306058762661746,0.08322058313831993,0.9962878934246299,0.02441202426381448,0.02404961355799454,0.0008240095448569326,0.039700578971553324,0.001616245490506741,0.014776659336322677,0.000637588376442167,0.04351948054400714,0.002277833678253796,12.25
Stable-Tail-NodeCalib-a030,B,node_calibration,0.3,0.2,4.603200836060015,0.22904551277935356,1.3497535644305523,0.07760327594362947,0.032776035512315845,0.0025561096704217966,0.06338254403041638,0.0059190795930408584,0.018857903665323864,0.001816034495394168,0.0580890002344308,0.005036314306935321,1.5
Stable-Tail-TailOnly-a005,A,tail_only_correction,0.05,0.2,3.423983959504498,0.06247018831473411,0.9949835490884051,0.020345842973407968,0.024126336551511376,0.0007582163315375772,0.03953723957796757,0.0009084059508487449,0.014777392093133479,0.0006800652054118078,0.04287308128523025,0.0021124773417840383,11.0
Stable-Tail-TailOnly-a005,B,tail_only_correction,0.05,0.2,4.653906603112633,0.22853879655102347,1.3648467948623229,0.077599697460785,0.03292090584659322,0.002612927936742869,0.06418236504021459,0.005770426500969528,0.019614896328749454,0.0012774990778524882,0.05784561265542983,0.005266930598136286,9.25
Stable-Tail-TailOnly-a010,A,tail_only_correction,0.1,0.2,3.429930926301611,0.08525756815742339,0.9979715747082654,0.029061784019572046,0.02412666690640506,0.0010609311779048473,0.03952928434544685,0.0014284158728559383,0.014876065020030865,0.0009154314003269473,0.04330788826210249,0.00204881008740888,12.75
Stable-Tail-TailOnly-a010,B,tail_only_correction,0.1,0.2,4.65895255182811,0.2533288131646793,1.3658415442765324,0.08422671260804064,0.03311589281764175,0.00250186737202004,0.06448942743774198,0.005478750381026254,0.018985955297648245,0.0016402911152565503,0.05782120722474747,0.005298224217752246,12.5
Stable-Tail-TailOnly-a020,A,tail_only_correction,0.2,0.2,3.4129111129875818,0.0938665284758431,0.9944334545752808,0.028515741049502875,0.02399208968743338,0.00102518287680065,0.03943866506446136,0.0013795816963856889,0.014584664833946031,0.0007543535350317736,0.04324739861192006,0.0035258455338932734,7.5
Stable-Tail-TailOnly-a020,B,tail_only_correction,0.2,0.2,4.628811735065597,0.22261829972813232,1.3587621207832732,0.07527241598530617,0.032718741232824006,0.0021617895689665383,0.06411146685063528,0.005362049280340163,0.01933122329648759,0.001508707595323749,0.05916483648832706,0.006268087993542138,4.5
Stable-Tail-TailOnly-a030,A,tail_only_correction,0.3,0.2,3.414439352172869,0.15092513163623403,0.9937046650799468,0.040045626429900234,0.023905419179113967,0.001269766250456138,0.03971570290045547,0.002570166626485571,0.014900816311963062,0.000951208043183713,0.042917606631599485,0.003351396192664119,8.25
Stable-Tail-TailOnly-a030,B,tail_only_correction,0.3,0.2,4.6468732269717,0.2023739209620326,1.365312958553399,0.06755288074564765,0.03320036633921608,0.0020351792273591764,0.06472240078813918,0.004599878878656898,0.019680789861403154,0.001488651926702754,0.05903718942576433,0.006113605495357928,12.0
