Model,Set,beta,model_seeds,Risk Reduction mean,Risk Reduction std,Global Risk mean,Global Risk std,CVaR90 mean,CVaR90 std,Edge Burden Gini mean,Edge Burden Gini std,Top10 Share mean,Top10 Share std,Risk Reduction mean?std (%)
GCN,B,2.0,10,0.6217349438727864,0.007888337938047536,3.1767069513644675,0.06624703381028194,0.07166536545808376,0.003057508599991021,0.7392366242334525,0.004572879583224317,0.726597829607214,0.006234016686088671,62.17 ? 0.79
GCN,B,3.0,10,0.6384768614454618,0.009138985617071778,3.0361066895353575,0.07675009538393149,0.06540548184042179,0.0036361857148622732,0.7290510784142903,0.006226187031984637,0.7127635024842529,0.007942779535167465,63.85 ? 0.91
TEG-low,B,0.0,10,0.0,0.0,8.395030415896514,0.009700051356791417,0.25916896701517417,5.283322019516828e-05,0.8476127955741483,0.0004467148247316296,0.8811877670801531,0.0003823763944621904,0.00 ? 0.00
TEG-low,B,0.5,10,0.34128336100686013,0.059143643810269264,5.529789293964852,0.494644818271338,0.130313638616188,0.013474753824686178,0.8175238642167137,0.01134513478057129,0.8368809580037281,0.014234722306172804,34.13 ? 5.91
TEG-low,B,1.0,10,0.5143592288192125,0.02424612300387405,4.076951928324981,0.20329147961596064,0.09674788594355836,0.005813676443646561,0.7793213638653769,0.009063002552904187,0.7846606806430855,0.011714295709699,51.44 ? 2.42
TEG-low,B,1.5,10,0.5830575924651452,0.016232215622438984,3.5002613389040733,0.1368598493107295,0.08030088777708265,0.004299322932043755,0.7558578624457224,0.007757021806756634,0.7502264703069975,0.010961498257270998,58.31 ? 1.62
TEG-low,B,2.0,10,0.6162626689142398,0.015497485436553354,3.2214703730612113,0.12975185255961605,0.07125629568590734,0.004897434624963838,0.740662625770651,0.008307249867487182,0.7288263996634996,0.011500104765851617,61.63 ? 1.55
TEG-low,B,3.0,10,0.6364285251512322,0.008857946760066352,3.052189260722427,0.07427587154129758,0.06429198395937545,0.004192713606101726,0.7319938208618695,0.005619748242258084,0.7158247692469254,0.007511761317411494,63.64 ? 0.89
Stable-Tail GNN,B,0.0,10,0.0,0.0,8.39809784146732,0.0,0.25918567434636797,5.851389114294502e-17,0.8477540592052198,0.0,0.8813086851131514,0.0,0.00 ? 0.00
Stable-Tail GNN,B,0.5,10,0.3231622567832826,0.03281986945377453,5.684149590331928,0.27562447481698316,0.1344150722668859,0.008100624862203072,0.8197634892760283,0.005876983550494269,0.8409469505170956,0.0072323949843408775,32.32 ? 3.28
Stable-Tail GNN,B,1.0,10,0.5214902376298965,0.026851799947566413,4.018571802481405,0.22550404317916997,0.09425068308599813,0.005180684973936011,0.7767719229252152,0.00864214474017173,0.7810186166132874,0.011752725044410599,52.15 ? 2.69
Stable-Tail GNN,B,1.5,10,0.5723908274654266,0.02900991833102044,3.591103668854229,0.24362813251688586,0.08314643313058331,0.006043055421206975,0.759527204607328,0.009517937643443991,0.75604848602637,0.013691464188706669,57.24 ? 2.90
Stable-Tail GNN,B,2.0,10,0.5991283063690059,0.02603520921711199,3.3665597049878,0.2186462343283785,0.07732616078019489,0.005643697670695216,0.7484575346181283,0.009821993044150355,0.7401357872542742,0.013771947075731147,59.91 ? 2.60
