model,model_seed,customer_set,beta,lambda_concentration,cost_increase_pct,common_global_risk,common_global_cvar90,common_max_vehicle_risk,common_edge_burden_gini_used,common_top10_burden_share,common_risk_reduction_pct
Stable-Tail-combo-eta0.7-b2-l2,8,A,2.0,2.0,0.43484957939545177,2.239717694049376,0.03795398957430397,0.9246140823446412,0.66325445588591,0.637428100376968,0.712701020913142
Stable-Tail-combo-eta0.7-b2-l2,9,A,0.0,0.0,0.0,7.795773243499634,0.22536744437092193,2.29898810961542,0.8504429564771069,0.8815259771712872,0.0
Stable-Tail-combo-eta0.7-b2-l2,9,A,2.0,2.0,0.34123521615312497,2.4476605559369107,0.04261963519922792,0.8651712010701204,0.6883180044281233,0.6688884503040307,0.6860272253328386
Stable-Tail-combo-eta0.7-b3-l1,0,A,0.0,0.0,0.0,7.795773243499634,0.22536744437092193,2.29898810961542,0.8504429564771069,0.8815259771712872,0.0
Stable-Tail-combo-eta0.7-b3-l1,0,A,3.0,1.0,0.3592258368806605,2.25293545883194,0.038948139176171605,0.7654521067932949,0.6674168166150226,0.6418884000696775,0.7110055169047893
Stable-Tail-combo-eta0.7-b3-l1,1,A,0.0,0.0,0.0,7.795773243499634,0.22536744437092193,2.29898810961542,0.8504429564771069,0.8815259771712872,0.0
Stable-Tail-combo-eta0.7-b3-l1,1,A,3.0,1.0,0.37724332376102243,2.264932873116193,0.03817480944679383,0.9152794146966168,0.6653675779354572,0.6399851559375226,0.70946655291629
Stable-Tail-combo-eta0.7-b3-l1,2,A,0.0,0.0,0.0,7.959816901084075,0.23567049580945842,2.428080332212452,0.8524898232201188,0.8837653227641111,0.0
Stable-Tail-combo-eta0.7-b3-l1,2,A,3.0,1.0,0.5202746319894028,2.3354973609955634,0.040896051637164,0.931406952112747,0.6779862642424521,0.6530410947281564,0.7065890597711876
Stable-Tail-combo-eta0.7-b3-l1,3,A,0.0,0.0,0.0,7.795773243499634,0.22536744437092193,2.29898810961542,0.8504429564771069,0.8815259771712872,0.0
Stable-Tail-combo-eta0.7-b3-l1,3,A,3.0,1.0,0.3581146229484707,2.267882009718879,0.03732050064533052,0.7622422335570584,0.6684327811273416,0.6424172103725899,0.709088253482665
Stable-Tail-combo-eta0.7-b3-l1,4,A,0.0,0.0,0.0,7.795773243499634,0.22536744437092193,2.29898810961542,0.8504429564771069,0.8815259771712872,0.0
Stable-Tail-combo-eta0.7-b3-l1,4,A,3.0,1.0,0.504508289700711,2.2657236994169008,0.039230944448681436,0.7842353582367836,0.6641312785010656,0.6364275577394187,0.7093651099579066
Stable-Tail-combo-eta0.7-b3-l1,5,A,0.0,0.0,0.0,7.795773243499634,0.22536744437092193,2.29898810961542,0.8504429564771069,0.8815259771712872,0.0
Stable-Tail-combo-eta0.7-b3-l1,5,A,3.0,1.0,0.38440016836122426,2.32590157371314,0.039504090458303096,0.8894277692812779,0.6725712937779101,0.64878974713588,0.7016458148454673
Stable-Tail-combo-eta0.7-b3-l1,6,A,0.0,0.0,0.0,7.795773243499634,0.22536744437092193,2.29898810961542,0.8504429564771069,0.8815259771712872,0.0
Stable-Tail-combo-eta0.7-b3-l1,6,A,3.0,1.0,0.47125620160361065,2.347300822402451,0.0413620507945962,0.9238051737692249,0.6806214628437217,0.6577151076689833,0.6989008339409557
Stable-Tail-combo-eta0.7-b3-l1,7,A,0.0,0.0,0.0,7.795773243499634,0.22536744437092193,2.29898810961542,0.8504429564771069,0.8815259771712872,0.0
Stable-Tail-combo-eta0.7-b3-l1,7,A,3.0,1.0,0.47376594804683064,2.181261186934777,0.03691160145951885,0.9123480643165592,0.6563681573478007,0.6290846456998185,0.7201995082714466
Stable-Tail-combo-eta0.7-b3-l1,8,A,0.0,0.0,0.0,7.959816901084075,0.23567049580945842,2.428080332212452,0.8524898232201188,0.8837653227641111,0.0
Stable-Tail-combo-eta0.7-b3-l1,8,A,3.0,1.0,0.4689162111233419,2.2595953006142544,0.038527756445835115,0.9088864380270747,0.6655948867307974,0.6394083193542988,0.7161247138351602
Stable-Tail-combo-eta0.7-b3-l1,9,A,0.0,0.0,0.0,7.795773243499634,0.22536744437092193,2.29898810961542,0.8504429564771069,0.8815259771712872,0.0
Stable-Tail-combo-eta0.7-b3-l1,9,A,3.0,1.0,0.37310369737965454,2.4868740939272675,0.04317952176753779,0.8083908406240956,0.6916983520363861,0.673142634306698,0.6809971228958482
Stable-Tail-combo-eta0.7-b2-l1,0,B,0.0,0.0,0.0,8.367423585759253,0.25901860103443,2.773159306184404,0.846341422894505,0.8800995047831679,0.0
