label,seed,risk_source,risk_dir,method,alpha,rho,tail_quantile,tail_sharpness,hard_tail,high_risk_threshold,year,clip
Stable-Tail-TailOnly-a010,2,Stable-Tail-TailOnly-a010_seed2,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_tail_only_alpha010_q090_splitB_seed2_floor_0p01,tail_only_correction,0.1,0.2,0.9,20.0,False,0.5,data_2021,True
Stable-Tail-TailOnly-a010,3,Stable-Tail-TailOnly-a010_seed3,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_tail_only_alpha010_q090_splitB_seed3_floor_0p01,tail_only_correction,0.1,0.2,0.9,20.0,False,0.5,data_2021,True
Stable-Tail-TailOnly-a010,4,Stable-Tail-TailOnly-a010_seed4,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_tail_only_alpha010_q090_splitB_seed4_floor_0p01,tail_only_correction,0.1,0.2,0.9,20.0,False,0.5,data_2021,True
Stable-Tail-TailOnly-a010,5,Stable-Tail-TailOnly-a010_seed5,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_tail_only_alpha010_q090_splitB_seed5_floor_0p01,tail_only_correction,0.1,0.2,0.9,20.0,False,0.5,data_2021,True
Stable-Tail-TailOnly-a010,6,Stable-Tail-TailOnly-a010_seed6,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_tail_only_alpha010_q090_splitB_seed6_floor_0p01,tail_only_correction,0.1,0.2,0.9,20.0,False,0.5,data_2021,True
Stable-Tail-TailOnly-a010,7,Stable-Tail-TailOnly-a010_seed7,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_tail_only_alpha010_q090_splitB_seed7_floor_0p01,tail_only_correction,0.1,0.2,0.9,20.0,False,0.5,data_2021,True
Stable-Tail-TailOnly-a010,8,Stable-Tail-TailOnly-a010_seed8,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_tail_only_alpha010_q090_splitB_seed8_floor_0p01,tail_only_correction,0.1,0.2,0.9,20.0,False,0.5,data_2021,True
Stable-Tail-TailOnly-a010,9,Stable-Tail-TailOnly-a010_seed9,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_tail_only_alpha010_q090_splitB_seed9_floor_0p01,tail_only_correction,0.1,0.2,0.9,20.0,False,0.5,data_2021,True
Stable-Tail-TailOnly-a020,0,Stable-Tail-TailOnly-a020_seed0,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_tail_only_alpha020_q090_splitB_seed0_floor_0p01,tail_only_correction,0.2,0.2,0.9,20.0,False,0.5,data_2021,True
Stable-Tail-TailOnly-a020,1,Stable-Tail-TailOnly-a020_seed1,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_tail_only_alpha020_q090_splitB_seed1_floor_0p01,tail_only_correction,0.2,0.2,0.9,20.0,False,0.5,data_2021,True
Stable-Tail-TailOnly-a020,2,Stable-Tail-TailOnly-a020_seed2,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_tail_only_alpha020_q090_splitB_seed2_floor_0p01,tail_only_correction,0.2,0.2,0.9,20.0,False,0.5,data_2021,True
Stable-Tail-TailOnly-a020,3,Stable-Tail-TailOnly-a020_seed3,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_tail_only_alpha020_q090_splitB_seed3_floor_0p01,tail_only_correction,0.2,0.2,0.9,20.0,False,0.5,data_2021,True
Stable-Tail-TailOnly-a020,4,Stable-Tail-TailOnly-a020_seed4,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_tail_only_alpha020_q090_splitB_seed4_floor_0p01,tail_only_correction,0.2,0.2,0.9,20.0,False,0.5,data_2021,True
Stable-Tail-TailOnly-a020,5,Stable-Tail-TailOnly-a020_seed5,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_tail_only_alpha020_q090_splitB_seed5_floor_0p01,tail_only_correction,0.2,0.2,0.9,20.0,False,0.5,data_2021,True
