model,customer_set,model_seed_runs,cost_increase_mean,cost_increase_std,common_global_risk_mean_mean,common_global_risk_mean_std,common_global_cvar90_mean_mean,common_global_cvar90_mean_std,common_global_cvar95_mean_mean,common_global_cvar95_mean_std,common_max_edge_risk_mean_mean,common_max_edge_risk_mean_std,common_high_risk_edge_hits_mean_mean,common_high_risk_edge_hits_mean_std,common_max_vehicle_risk_mean_mean,common_max_vehicle_risk_mean_std,common_max_vehicle_cvar90_mean_mean,common_max_vehicle_cvar90_mean_std,common_edge_burden_gini_used_mean_mean,common_edge_burden_gini_used_mean_std,common_top10_burden_share_mean_mean,common_top10_burden_share_mean_std,load_global_risk_mean_mean,load_global_risk_mean_std,load_cvar90_mean_mean,load_cvar90_mean_std,load_cvar95_mean_mean,load_cvar95_mean_std,load_max_vehicle_risk_mean_mean,load_max_vehicle_risk_mean_std,load_edge_burden_gini_used_mean_mean,load_edge_burden_gini_used_mean_std,load_top10_burden_share_mean_mean,load_top10_burden_share_mean_std
GraphSAGE-TEG-Gate,A,10,0.18402669243922237,0.018120743699142614,3.117900991218062,0.17184146847601287,0.06969959041523473,0.0036738435425944715,0.10627340799467744,0.024515922016962087,0.3693554444961962,0.014775942507006288,34.44,1.0637460014287035,1.0225707918678704,0.05462058273788108,0.12425357347342367,0.012602614334945559,0.767748409929113,0.007683025261175671,0.7654364881425378,0.012594146912528711,1.5677908558825253,0.08761854260782685,0.044572245089040306,0.0031626097581229666,0.07388514867168149,0.0040882417969400975,0.5551878213947422,0.038611240292067014,0.8135173536544216,0.007360433718901679,0.7794919186188733,0.010899964646248834
GraphSAGE-TEG-Gate,B,10,0.21491775527917456,0.022814715087084138,4.046676571940129,0.12924042291803306,0.09937503185097248,0.005686540229537408,0.1939157828488422,0.0077001911070585,0.4531345259973902,0.0870064204376686,38.010000000000005,0.8723531395025753,1.3863862002893061,0.09305984509889088,0.16183766165675542,0.013427802380526694,0.8018382520942152,0.004362560585050968,0.804395748376565,0.006303901884126738,2.0070009584030615,0.1291834441729898,0.054204681108497785,0.004585444319007394,0.0999658416716803,0.00860919184904693,0.7325376382526337,0.08429704842582846,0.8358856134194864,0.007770204654969172,0.8106317415983677,0.011598132741990879
SGFormer-TEG-Concat,A,10,0.17433846642611642,0.023564324350845222,3.066661231151806,0.1984400951134671,0.0660365202467699,0.006090948703765414,0.10075181715432116,0.012777175214975916,0.3591045322060254,0.03744712655063352,36.019999999999996,1.383875395803795,0.9694025050914986,0.10379573826610919,0.12257928420390682,0.012406475720301187,0.7633746798885314,0.008150781732862517,0.7591487456261723,0.01236255245040006,1.5588295704509547,0.11205592374780506,0.043936918096276055,0.0044848125279340475,0.07180191640734943,0.007012818278371508,0.5437953844575325,0.09516482361420246,0.8110699796405644,0.011063345826321534,0.7764515431327581,0.014740661455939295
SGFormer-TEG-Concat,B,10,0.20327080204123696,0.030419539327736465,4.280570565404288,0.24951798689636168,0.10641962011792347,0.007893978403043575,0.204728093752191,0.012194747637869551,0.4312668271569128,0.09700930485288434,39.34,1.199259030494339,1.4508855045809128,0.1198020194188312,0.16898478481150617,0.014635723890704356,0.8053116096833884,0.007068652732363084,0.8102291453541965,0.010791514233526167,2.1681218342198827,0.193331563274474,0.059487899925744214,0.006883440673724864,0.10870356335348663,0.012142435067402575,0.7916489401198644,0.07325541324744299,0.8395704780753525,0.010353954424595553,0.8182408567912427,0.01762581105137414
SGFormer-TEG-Gate,A,10,0.1759018562430829,0.019976670863703996,3.0951986729697407,0.1401048763639806,0.06876607546945848,0.004024049084175774,0.09939511714449073,0.009074974140831204,0.3708033535403291,0.013020089302759864,34.870000000000005,1.0499206319209726,0.9909088307322582,0.0780661498492551,0.12008370842402383,0.010433367974757107,0.7655065584587174,0.006083576849660402,0.7617285004101475,0.008789615434096301,1.54421207642834,0.06239977288284481,0.04364833323967901,0.002170981333410088,0.07056010595884504,0.002349988939775416,0.5388159623303719,0.030969686888633705,0.8097801247887342,0.0034521281887257803,0.7742402834413742,0.006605448313339284
SGFormer-TEG-Gate,B,10,0.19934537293121077,0.033772972471864914,4.094497633960247,0.3359846456668344,0.10039159676837717,0.010574226717080058,0.19399692446376335,0.016161162892322774,0.39551185295602875,0.0833292885858157,38.74999999999999,1.5086785976844468,1.4213381814590549,0.13339380150842403,0.16444204537036494,0.023169017276899843,0.8019693277427151,0.009308046315984902,0.8039335257794258,0.014124225464922145,2.0914741799058834,0.21552790372232944,0.05681507231821653,0.007493199221029724,0.10357262904004887,0.014076076323647916,0.7917046801785376,0.09550758619869192,0.8380505130656614,0.010448396592501321,0.8130794310667971,0.015832357312862776
SGFormer-adapted,A,10,0.16484998905136958,0.026950573553645166,3.4440567807072062,0.6137260218095041,0.08152573229135965,0.02342679292450621,0.1392258830068175,0.05540845499636554,0.46454253265693,0.16956643250176337,36.11,1.639410463144196,1.09525439772014,0.1695199398404429,0.14678281446017274,0.045321745036168655,0.7804158255509384,0.026045641107947343,0.7805231362608147,0.033060269311500017,1.697332112836427,0.24894201003819233,0.04888619481433897,0.009210204198906113,0.08158053067852374,0.01785674018763231,0.5918277557947541,0.09940869397932738,0.8207220203578129,0.018216306132489275,0.7902772521340781,0.027513620041799587
SGFormer-adapted,B,10,0.18438231561779345,0.04614325843666449,4.477982883220825,0.5082578737562451,0.11078232998962556,0.016062793798689204,0.2119852710987585,0.029276521307232434,0.4682448195093629,0.05147952485814647,39.64,2.0342620829731404,1.5124968392766889,0.13321145212253085,0.18427043248140987,0.024030032348851225,0.8107654087221654,0.014033041254262225,0.8178658777152957,0.02033062995243215,2.296803153014447,0.27328490302467456,0.06412314998678371,0.009502424926954509,0.11671315426032061,0.016523434747535357,0.8409576374836796,0.06357433557754862,0.8462622861246935,0.010259410494030702,0.8280342907464433,0.017670258312899215
Stable-Tail GNN,A,10,0.17677191785425578,0.011205369470495255,3.106408792068391,0.0913147126204995,0.06904438975834462,0.0023828434452501457,0.10184903207031984,0.010450634007209008,0.3629993365582836,0.0015875688489750115,34.89,1.2305825178887164,0.9975854093152539,0.06940571785327164,0.12488202900380166,0.00857848336236887,0.7653776065613307,0.003705979044253253,0.7630205095209927,0.005707214070679655,1.5777788815797642,0.08988392994890622,0.04478446610397473,0.0030775955356463873,0.07339062963704629,0.0037529703795770547,0.5450803296202609,0.039498819061809826,0.8132367808676637,0.00606791398803206,0.7793244667990982,0.010072426109085163
Stable-Tail GNN,B,10,0.2057065235061653,0.016059920026708596,4.202968087099184,0.32997009506004754,0.10554525019022731,0.011311632027122983,0.2014385972703426,0.021240577984320292,0.44229245820572494,0.08567924249559516,38.94,0.6310485101972921,1.425383391000234,0.10697026019843493,0.16395890429912915,0.01871901192122216,0.804304003044251,0.00957509335611339,0.8083432898339697,0.013371349274314133,2.1187913202033024,0.20243057539497264,0.05775079177820978,0.007113673388432157,0.10657165834032511,0.01287191782899728,0.7479146152425907,0.0780073967228301,0.839363840840129,0.009923946967189384,0.815863084055564,0.014118650174090563
Stable-Tail w/o Tail Loss,A,10,0.18626949553759645,0.012945392768419176,3.1784871105600025,0.1386076797197274,0.07015992284631624,0.0034567067060236488,0.10981021604405353,0.011809982892421954,0.36313917443748206,0.002557330285468427,35.49,1.3050755618822305,1.013777036881749,0.05864248642471508,0.12411245794820831,0.006495244940424029,0.7679062319921584,0.006110623172689822,0.7663991568526555,0.009017233996086747,1.6231807841118304,0.10179890641258771,0.04654495450570222,0.0035040109730349166,0.07487890066124496,0.004551927061618534,0.5621675457968932,0.04937263697121462,0.816819733199889,0.007798808618841267,0.7844992394577828,0.01067224878994992
Stable-Tail w/o Tail Loss,B,10,0.210200267289763,0.019158172234333973,4.244528397613999,0.1373212534691906,0.10552052983101982,0.007468659340742096,0.2057694475212002,0.009775081023759848,0.5385829035562493,0.023432904569938212,37.949999999999996,0.9778093429248423,1.4896135627295395,0.07198807067312156,0.17403663954525128,0.010205541350824326,0.8065076250735906,0.004642264176711089,0.8115431604526442,0.005510455329468141,2.2202743815557286,0.10570212933044446,0.061468546161855174,0.003777845001667863,0.11416204528125307,0.006900616930672437,0.8402829587249604,0.077056140405771,0.8456473432097307,0.005394179591858422,0.8261361236692475,0.007221040059249451
TEG-only,A,10,0.1906347977096063,0.013688366335097762,3.0940487046381833,0.14773492616032444,0.06808828092451102,0.0026199849265911056,0.1037315857523949,0.008477737502139067,0.3724519182048778,0.011724867676730599,34.89,1.3345411196362589,0.9554752571525,0.08417630235585818,0.12109540540620123,0.009403766006230293,0.7640036060952696,0.007791806373978689,0.7608658696048898,0.0115523985497373,1.5640453857171472,0.0719853082635077,0.044421816031901804,0.0027963718783661842,0.07139108712314976,0.003124545203923415,0.5454359813068295,0.04623243060827355,0.8110773638601646,0.007952188041969463,0.7765420689202988,0.013094561060711381
TEG-only,B,10,0.21391056337604009,0.011286482429431342,4.2946165768128335,0.20941154873388368,0.1080806138415498,0.00736436145244253,0.20803141370908515,0.013501592806621294,0.47971569037132245,0.0792619652408906,38.87,0.7972870666621062,1.4448444086666785,0.05700826767489709,0.17033108709023587,0.010969507206566398,0.8062424497391604,0.007697680984417037,0.8116194886221922,0.00986691917698952,2.1890068672766483,0.1316409029959078,0.060395402925515415,0.0046764981407883596,0.1112330665296311,0.009423343387410845,0.7831931509489125,0.05707791128015124,0.8424501068118297,0.007755113051552456,0.8212357191188413,0.01111311461683442
